,title,time_in_hours,no_of_videos,Exercises,no_of_Learners,XP,course-description,what-you-will-learn-lesson-1,what-you-will-learn-lesson-2,what-you-will-learn-lesson-3,what-you-will-learn-lesson-4,collaborators,prerequisities,what-you-will-learn-lesson-5,what-you-will-learn-lesson-6
0,Data Science for Business,2,14,51,"67,677",3350,"What is data science and how can you use it to strengthen your organization? This course will teach you about the skills you need on your data team, and how you can structure that team to meet your organization's needs. Data is everywhere! This course will provide you with an understanding of data sources your company can use and how to store that data. You'll also discover ways to analyze and visualize your data through dashboards and A/B tests. To wrap up the course, we'll discuss exciting topics in machine learning, including clustering, time series prediction, natural language processing (NLP), deep learning, and explainable AI! Along the way, you'll learn about a variety of real-world applications of data science and gain a better understanding of these concepts through practical exercises.","What is Data Science?,Customer Segmentation Workflow,Building a customer service chatbot,Improving OKRs,Applications of Data Science,Assigning data science projects,Investment research,Building a data science team,Interpreting a team sprint,Editing a job posting,Matching skills to jobs,Classifying data tasks","Dashboards,Classifying dashboard elements,Improving a dashboard,Choosing the right dashboard,Ad hoc analysis,Filling out an ad hoc request,Classifying requests,A/B Testing,Creating an A/B testing workflow,Sample size,Intermediate results","Data sources and risks,Classifying data for security,Creating web data events,Protecting PII,Solicited data,Identifying question purpose,Validating focus group feedback,Net Promoter Score,Collecting additional data,Sorting data sources,Asthma frequency,Data storage and retrieval,Cloud platforms,Querying a database,Which type of database?","Supervised machine learning,When to use Supervised Learning,Features and labels,Model evaluation,Clustering,Supervised vs. unsupervised,Cluster size selection,Special topics in Machine Learning,Classifying machine learning tasks,Sentiment Analysis,Deep Learning and Explainable AI,Finding the correct solution,Should I use Deep Learning?","Amy Peterson,Hillary Green-Lerman",Data Skills for Business,,
1,Data Communication Concepts,3,16,50,"3,047",3750,"You’ve analyzed your data, run your model, and made your predictions. Now, it's time to bring your data to life! Presenting findings to stakeholders so they can make data-driven decisions is an essential skill for all data scientists. In this course, you’ll learn how to use storytelling to connect with your audience and help them understand the content of your presentation—so they can make the right decisions. Through hands-on exercises, you’ll learn the advantages and disadvantages of oral and written formats. You’ll also improve how you translate technical results into compelling stories, using the correct data, visualizations, and in-person presentation techniques. Start learning and improve your data storytelling today.","Fundamentals of storytelling,The story begins,Building a story,Translating technical results,A non-tech story,Be aware,Impacting the decision-making process,Is it a true story?,Structured to impact,A story to compare","Types of reports,Something to report,In summary,Reproducibility and references,Replicate me,Same results,Write precise and clear reports,Half-empty glass,Strong words,Case study: report on credit risk,Credit me,Report my credit","Selecting the right data,The truth about salaries,Earning interests,Showing relevant statistics,Salary variation,On a payroll,It's not significant,Visualizations for different audiences,Salary development,Salary on demand,Choosing the appropriate format,A communication problem,Should we meet?,When in doubt","Planning an oral presentation,Is this the plan?,An effective plan!,Building presentation slides,A color building,Too much text,The right building,Delivering the presentation,Put it into practice,Best practice,Avoiding common errors,The true mistake,Do's and don'ts,Congratulations!",Maria Eugenia Inzaugarat,"Data Analyst,Data Science for Everyone,Data Visualization for Everyone",,
2,Intermediate Data Visualization with ggplot2,4,14,52,"29,130",4350,"This ggplot2 course builds on your knowledge from the introductory course to produce meaningful explanatory plots. Statistics will be calculated on the fly and you’ll see how Coordinates and Facets aid in communication. You’ll also explore details of data visualization best practices with ggplot2 to help make sure you have a sound understanding of what works and why. By the end of the course, you’ll have all the tools needed to make a custom plotting function to explore a large data set, combining statistics and excellent visuals.","Stats with geoms,Smoothing,Grouping variables,Modifying stat_smooth,Modifying stat_smooth (2),Stats: sum and quantile,Quantiles,Using stat_sum,Stats outside geoms,Preparations,Using position objects,Plotting variations","The facets layer,Facet layer basics,Many variables,Formula notation,Facet labels and order,Labeling facets,Setting order,Facet plotting spaces,Variable plotting spaces I: continuous variables,Variable plotting spaces II: categorical variables,Facet wrap & margins,Wrapping for many levels,Margin plots","Coordinates,Zooming In,Aspect ratio I: 1:1 ratios,Aspect ratio II: setting ratios,Expand and clip,Coordinates vs. scales,Log-transforming scales,Adding stats to transformed scales,Double and flipped axes,Useful double axes,Flipping axes I,Flipping axes II,Polar coordinates,Pie charts,Wind rose plots","Best practices: bar plots,Bar plots: dynamite plots,Bar plots: position dodging,Bar plots: Using aggregated data,Heatmaps use case scenario,Heat maps,Useful heat maps,Heat map alternatives,When good data makes bad plots,Suppression of the origin,Color blindness,Typical problems",Richie Cotton,"Data Scientist,Data Visualization,Introduction to Data Visualization with ggplot2",,
3,Customer Segmentation in Python,4,17,55,"14,698",4400,"The most successful companies today are the ones that know their customers so well that they can anticipate their needs. Data analysts play a key role in unlocking these in-depth insights, and segmenting the customers to better serve them. In this course, you will learn real-world techniques on customer segmentation and behavioral analytics, using a real dataset containing anonymized customer transactions from an online retailer. You will first run cohort analysis to understand customer trends. You will then learn how to build easy to interpret customer segments. On top of that, you will prepare the segments you created, making them ready for machine learning. Finally, you will make your segments more powerful with k-means clustering, in just few lines of code! By the end of this course, you will be able to apply practical customer behavioral analytics and segmentation techniques.","Introduction to cohort analysis,How many customers acquired?,Cohort analysis,Assign daily acquisition cohort,Calculate time offset in days - part 1,Calculate time offset in days - part 2,Cohort metrics,Customer retention,Calculate retention rate from scratch,Calculate average price,Visualizing cohort analysis,Visualize average quantity metric","Data pre-processing,Assumptions of k-means,Calculate statistics of variables,Managing skewed variables,Detect skewed variables,Manage skewness,Centering and scaling data,Center and scale manually,Center and scale with StandardScaler(),Pre-processing pipeline,Visualize RFM distributions,Pre-process RFM data,Visualize the normalized variables","Recency, frequency, monetary (RFM) segmentation,Calculate spend quartiles (q=4),Calculate recency deciles (q=4),Calculating RFM metrics,Largest frequency value,Calculate RFM values,Building RFM segments,Calculate 3 groups for recency and frequency,Calculate RFM Score,Analyzing RFM table,Find average value for RFM score segment,Creating custom segments,Analyzing custom segments","Practical implementation of k-means clustering,Run k-means,Assign labels to raw data,Choosing the number of clusters,Calculate sum of squared errors,Plot sum of squared errors,Profile and interpret segments,Prepare data for the snake plot,Visualize snake plot,Calculate relative importance of each attribute,Plot relative importance heatmap,End-to-end segmentation solution,Pre-process data,Calculate and plot sum of squared errors,Build 4-cluster solution,Analyze the segments,Final thoughts","Hadrien Lacroix,Mari Nazary","Marketing Analytics,Chapter 1 datasets,Chapter 2 datasets,Chapter 3 datasets,Chapter 4 datasets,Data Manipulation with pandas,Supervised Learning with scikit-learn",,
4,Sampling in Python,4,15,51,,4000,"Sampling in Python is the cornerstone of inference statistics and hypothesis testing. It's a powerful skill used in survey analysis and experimental design to draw conclusions without surveying an entire population. In this Sampling in Python course, you’ll discover when to use sampling and how to perform common types of sampling—from simple random sampling to more complex methods like stratified and cluster sampling. Using real-world datasets, including coffee ratings, Spotify songs, and employee attrition, you’ll learn to estimate population statistics and quantify uncertainty in your estimates by generating sampling distributions and bootstrap distributions.","Living the sample life,Reasons for sampling,Simple sampling with pandas,Simple sampling and calculating with NumPy,A little too convenient,Are the findings from this sample generalizable?,Are these findings generalizable?,How does Sue do sampling?,Generating random numbers,Understanding random seeds","An ample sample,Calculating relative errors,Relative error vs. sample size,Baby back dist-rib-ution,Replicating samples,Replication parameters,Be our guess, put our samples to the test,Exact sampling distribution,Approximate sampling distribution,Exact vs. approximate,Err on the side of Gaussian,Population & sampling distribution means,Population & sampling distribution variation","Simple is as simple does,Simple random sampling,Systematic sampling,Is systematic sampling OK?,Can't get no stratisfaction,Which sampling method?,Proportional stratified sampling,Equal counts stratified sampling,Weighted sampling,What a cluster...,Benefits of clustering,Cluster sampling,Straight to the point (estimate),3 kinds of sampling,Comparing point estimates","This bears a striking resample-lance,Principles of bootstrapping,With or without replacement?,Generating a bootstrap distribution,A breath of fresh error,Bootstrap statistics and population statistics,Sampling distribution vs. bootstrap distribution,Compare sampling and bootstrap means,Compare sampling and bootstrap standard deviations,Venus infers,Confidence interval interpretation,Calculating confidence intervals,Congratulations","Dr. Chester Ismay,Amy Peterson","Data Scientist,Statistics Fundamentals,Coffee ratings,Spotify song attributes,Employee attrition,Introduction to Statistics in Python",,
5,Advanced Dimensionality Reduction in R,4,16,51,"3,796",4300,"Dimensionality reduction techniques are based on unsupervised machine learning algorithms and their application offers several advantages. In this course you will learn how to apply dimensionality reduction techniques to exploit these advantages, using interesting datasets like the MNIST database of handwritten digits, the fashion version of MNIST released by Zalando, and a credit card fraud detection dataset. Firstly, you will have a look at t-SNE, an algorithm that performs non-linear dimensionality reduction. Then, you will also explore some useful characteristics of dimensionality reduction to apply in predictive models. Finally, you will see the application of GLRM to compress big data (with numerical and categorical values) and impute missing values. Are you ready to start compressing high dimensional data?","Exploring the MNIST dataset,Exploring MNIST dataset,Digits features,Distance metrics,Euclidean distance,Minkowski distance,KL divergence,PCA and t-SNE,Generating PCA from MNIST sample,t-SNE output from MNIST sample","Credit card fraud detection,Exploring credit card fraud dataset,Generating training and test sets,Training random forests models,Training a random forest with original features,Computing and visualising the t-SNE embedding,Training a random forest with embedding features,Predicting data,Predicting data using original features,Predicting data using embedding random forest,Visualizing neural networks layers,Exploring neural network layer output,Using t-SNE to visualise a neural network layer","Building a t-SNE embedding,Computing t-SNE,Understanding t-SNE output,Optimal number of t-SNE iterations,Reproducing results,Optimal number of iterations,Effect of perplexity parameter,Perplexity of MNIST sample,Perplexity of bigger MNIST dataset,Classifying digits with t-SNE,Plotting spatial distribution of true classes,Computing the centroids of each class,Computing similarities of digits 1 and 0,Plotting similarities of digits 1 and 0","Exploring fashion MNIST dataset,Exploring fashion MNIST,Visualizing fashion MNIST,Generalized Low Rank Models (GLRM),Reducing data with GLRM,Improving model convergence,Visualizing a GLRM model,Visualizing the output of GLRM,Visualizing the prototypes,Dealing with missing data and speeding-up models,Imputing missing data,Training a random forest with original data,Training a random forest with compressed data,Summary of the course","Chester Ismay,Sara Billen","MNIST sample,Credit card fraud,Fashion MNIST sample,Unsupervised Learning in R",,
6,Introduction to NumPy,4,13,49,"6,066",4250,"NumPy is an essential Python library. TensorFlow and scikit-learn use NumPy arrays as inputs, and pandas and Matplotlib are built on top of NumPy. In this Introduction to NumPy course, you'll become a master wrangler of NumPy's core object: arrays! Using data from New York City's tree census, you'll create, sort, filter, and update arrays. You'll discover why NumPy is so efficient and use broadcasting and vectorization to make your NumPy code even faster. By the end of the course, you'll be using 3D arrays to alter a Claude Monet painting, and you'll understand why such array alterations are essential tools for machine learning.","Introducing arrays,Your first NumPy array,Creating arrays from scratch,A range array,Array dimensionality,3D array creation,The fourth dimension,Flattening and reshaping,NumPy data types,The dtype argument,Anticipating data types,A smaller sudoku game","Summarizing data,Sales totals,Plotting averages,Cumulative sales,Vectorized operations,Tax calculations,Projecting sales,Vectorizing .upper(),Broadcasting,Broadcastable or not?,Broadcasting across columns,Broadcasting across rows","Indexing and slicing arrays,Slicing and indexing trees,Stepping into 2D,Sorting trees,Filtering arrays,Filtering with masks,Fancy indexing vs. np.where(),Creating arrays from conditions,Adding and removing data,Compatible or not?,Adding rows,Adding columns,Deleting with np.delete()","Saving and loading arrays,Loading .npy files,Getting help,Update and save,Array acrobatics,Augmenting Monet,Transposing your masterpiece,Stacking and splitting,2D split and stack,Splitting RGB data,Stacking RGB data,Congratulations!","James Chapman,Amy Peterson","Data Scientist,Monet RGB Array,Tree Census Array,Monthly Sales Array,Sudoku Game Array,Sudoku Solution Array,Intermediate Python",,
7,Survival Analysis in Python,4,16,48,"2,444",3850,"How long does it take for flu symptoms to show after exposure? And what if you don't know when people caught the virus? Do salary and work-life balance influence the speed of employee turnover? Lots of real-life challenges require survival analysis to robustly estimate the time until an event to help us draw insights from time-to-event distributions. This course introduces you to the basic concepts of survival analysis. Through hands-on practice, you’ll learn how to compute, visualize, interpret, and compare survival curves using Kaplan-Meier, Weibull, and Cox PH models. By the end of this course, you’ll be able to model survival distributions, build pretty plots of survival curves, and even predict survival durations.","What is survival analysis?,What problems does survival analysis solve?,Choose the right data for survival analysis,Why use survival analysis?,Identify the censorship type,Preprocess censored data,First look at censored data,Your first survival curve!,Draw a survival curve,Long live democracy!","Fitting the Weibull model,Model prison data with Weibull,Compare Weibull model parameters,Weibull model with covariates,Analyze heart patients characteristics,Explore gender-LVDD interaction,Visualization and prediction with Weibull model,How do prior arrests impact re-arrest rate?,Predict re-arrest rate,Other distributions and model selection,How good is the fit?,Choose a parametric model","Fitting a Kaplan-Meier estimator,How to fit a Kaplan-Meier estimator?,Heart disease patient survival,Visualizing your Kaplan-Meier model,Plotting the survival curve,Patient soreness treatment,Applying survival analysis to groups,Senators' terms in office,Comparing patient soreness treatments,The log-rank test,Appropriate data for log-rank test,Plotting and comparing survival curves,Log-rank test","Fitting the Cox Proportional Hazards model,Model prison data with Cox PH,Custom Cox PH model,Interpreting the Cox PH model,Cox PH model survival time,Plot covariate effects on survival,The proportional hazards assumption,Test the PH assumption with KM curves,Test the PH assumption automatically,Predicting with the Cox PH model,Employee churn study,Predict before they leave!,Congratulations!","Maggie Matsui,Hadrien Lacroix","Echocardiogram data,Employee attrition data,Regimes data,Prison recidivism data,Introduction to Regression with statsmodels in Python,Hypothesis Testing in Python",,
8,Modeling with tidymodels in R,4,16,59,"4,166",4950,"Tidymodels is a powerful suite of R packages designed to streamline machine learning workflows. Learn to split datasets for cross-validation, preprocess data with tidymodels' recipe package, and fine-tune machine learning algorithms. You'll learn key concepts such as defining model objects and creating modeling workflows. Then, you'll apply your skills to predict home prices and classify employees by their risk of leaving a company.","The tidymodels ecosystem,Tidymodels packages,Creating training and test datasets,Distribution of outcome variable values,Linear regression with tidymodels,Fitting a linear regression model,Exploring estimated model parameters,Predicting home selling prices,Evaluating model performance,Model performance metrics,R squared plot,Complete model fitting process with last_fit()","Feature engineering,Exploring recipe objects,Creating recipe objects,Training a recipe object,Numeric predictors,Discovering correlated predictors,Removing correlated predictors with recipes,Multiple feature engineering steps,Nominal predictors,Applying step_dummy() to predictors,Ordering of step_*() functions,Complete feature engineering pipeline,Complete modeling workflow,Feature engineering process,Model training and prediction,Model performance metrics","Classification models,Data resampling,Fitting a logistic regression model,Combining test dataset results,Assessing model fit,Calculating metrics from the confusion matrix,Evaluating performance with yardstick,Creating custom metric sets,Visualizing model performance,Plotting the confusion matrix,ROC curves and area under the ROC curve,Automating the modeling workflow,Streamlining the modeling process,Collecting predictions and creating custom metrics,Complete modeling workflow","Machine learning workflows,Exploring the loans dataset,Specifying a model and recipe,Creating workflows,Estimating performance with cross validation,Measuring performance with cross validation,Cross validation with logistic regression,Comparing model performance profiles,Hyperparameter tuning,Setting model hyperparameters,Random grid search,Exploring tuning results,Selecting the best model,Finalizing a workflow,Training a finalized workflow,Congratulations!",Maggie Matsui,"Machine Learning Fundamentals,Machine Learning Scientist,Supervised Machine Learning,Home sales,Loans,Telecom data,Employee data,Purchase leads,Modeling with Data in the Tidyverse",,
9,Developing Python Packages,4,14,47,"5,323",3900,"Do you find yourself copying and pasting the same code between files, wishing it was easier to reuse and share your awesome snippets? Wrapping your code into Python packages can help! In this course, you’ll learn about package structure and the extra files needed to turn loose code into convenient packages. You'll also learn about import structure, documentation, and how to maintain code style using flake8. You’ll then speed up your package development by building templates, using cookiecutter to create package skeletons. Finally, you'll learn how to use setuptools and twine to build and publish your packages to PyPI—the world stage for Python packages.","Starting a package,Modules, packages and subpackages,From script to package,Putting your package to work,Documentation,Writing function documentation with pyment,Writing function documentation with pyment II,Package and module documentation,Structuring imports,Sibling imports,Importing from parents,Exposing functions to users","Testing your package,Creating the test directory,Writing some basic tests,Running your tests,Testing your package with different environments,Setting up tox,Running tox,Keeping your package stylish,Appropriate style filtering,Using flake8 to tidy up a file,Ignoring specific errors,Configuring flake8","Installing your own package,Adding the setup script,Installing your package locally,Utilizing editable installs,Dealing with dependencies,User dependencies,Development dependencies,Including licences and writing READMEs,Writing a README,MANIFEST - Including extra files with your package,Publishing your package,Building a distribution,Uploading distributions","Faster package development with templates,Using package templates,Version numbers and history,CONTRIBUTING.md,History file,Tracking version number with bumpversion,Makefiles and classifiers,PyPI classifiers,Using makefiles,Wrap-up","Maggie Matsui,Amy Peterson","Python Programmer,Introduction to Shell,Writing Functions in Python",,
