,links
0,https://www.dataquest.io/course/algorithm-complexity/
1,https://www.dataquest.io/course/analyzing-data-with-excel/
2,https://www.dataquest.io/course/apis-and-scraping/
3,https://www.dataquest.io/course/apis-in-r/
4,https://www.dataquest.io/course/building-a-data-pipeline/
5,https://www.dataquest.io/course/calculus-for-machine-learning/
6,https://www.dataquest.io/course/command-line-elements/
7,https://www.dataquest.io/course/command-line-intermediate/
8,https://www.dataquest.io/course/conditional-probability/
9,https://www.dataquest.io/course/conditional-probability-r/
10,https://www.dataquest.io/course/data-analysis-business/
11,https://www.dataquest.io/course/data-analysis-in-power-bi/
12,https://www.dataquest.io/course/data-exploration/
13,https://www.dataquest.io/course/data-foundations/
14,https://www.dataquest.io/course/data-structures-fundamentals/
15,https://www.dataquest.io/course/data-visualization-fundamentals/
16,https://www.dataquest.io/course/datastructure-in-r-rewrite/
17,https://www.dataquest.io/course/decision-trees/
18,https://www.dataquest.io/course/deep-learning-fundamentals/
19,https://www.dataquest.io/course/dictionaries-frequency-tables-and-functions-in-python/
20,https://www.dataquest.io/course/exploring-data-with-excel/
21,https://www.dataquest.io/course/for-loops-and-conditional-statements-in-python/
22,https://www.dataquest.io/course/funds-sql-i/
23,https://www.dataquest.io/course/funds-sql-ii/
24,https://www.dataquest.io/course/funds-sql-iv/
25,https://www.dataquest.io/course/funds-sql-v/
26,https://www.dataquest.io/course/get-started-with-microsoft-data-analytics/
27,https://www.dataquest.io/course/git-and-vcs/
28,https://www.dataquest.io/course/hypothesis-testing-r/
29,https://www.dataquest.io/course/intermediate-r/
30,https://www.dataquest.io/course/intermediate-r-part-two/
31,https://www.dataquest.io/course/intro-to-r-rewrite/
32,https://www.dataquest.io/course/introduction-to-python/
33,https://www.dataquest.io/course/kaggle-fundamentals/
34,https://www.dataquest.io/course/linear-algebra-for-machine-learning/
35,https://www.dataquest.io/course/linear-modeling-r/
36,https://www.dataquest.io/course/linear-regression-for-machine-learning/
37,https://www.dataquest.io/course/machine-learning-fundamentals/
38,https://www.dataquest.io/course/machine-learning-fundamentals-in-r/
39,https://www.dataquest.io/course/machine-learning-intermediate/
40,https://www.dataquest.io/course/machine-learning-project/
41,https://www.dataquest.io/course/manage-workspaces-and-datasets-in-power-bi/
42,https://www.dataquest.io/course/model-data-in-power-bi/
43,https://www.dataquest.io/course/numpy-for-de/
44,https://www.dataquest.io/course/optimizing-postgres-databases-data-engineering/
45,https://www.dataquest.io/course/pandas-fundamentals/
46,https://www.dataquest.io/course/pandas-large-datasets/
47,https://www.dataquest.io/course/parallel-processing/
48,https://www.dataquest.io/course/postgres-for-data-engineers/
49,https://www.dataquest.io/course/preparing-data-with-excel/
50,https://www.dataquest.io/course/probability-fundamentals/
51,https://www.dataquest.io/course/probability-fundamentals-r/
52,https://www.dataquest.io/course/probability-statistics-intermediate/
53,https://www.dataquest.io/course/python-advanced-functions/
54,https://www.dataquest.io/course/python-data-cleaning-advanced/
55,https://www.dataquest.io/course/python-datacleaning/
56,https://www.dataquest.io/course/python-for-data-science-intermediate/
57,https://www.dataquest.io/course/python-functions-and-learn-jupyter-notebook/
58,https://www.dataquest.io/course/python-fundamentals-de/
59,https://www.dataquest.io/course/python-fundamentals-de-ii/
60,https://www.dataquest.io/course/python-intermediate-de/
61,https://www.dataquest.io/course/python-programming-de/
62,https://www.dataquest.io/course/r-data-cleaning/
63,https://www.dataquest.io/course/r-data-cleaning-advanced/
64,https://www.dataquest.io/course/r-data-viz/
65,https://www.dataquest.io/course/r-statistics-intermediate/
66,https://www.dataquest.io/course/recursion-and-trees/
67,https://www.dataquest.io/course/scraping-in-r/
68,https://www.dataquest.io/course/shiny-r/
69,https://www.dataquest.io/course/spark-map-reduce/
70,https://www.dataquest.io/course/sql-fundamentals/
71,https://www.dataquest.io/course/sql-intermediate-r/
72,https://www.dataquest.io/course/sql-joins-relations/
73,https://www.dataquest.io/course/sql-joins-relations-de/
74,https://www.dataquest.io/course/sql-summary/
75,https://www.dataquest.io/course/statistics-fundamentals/
76,https://www.dataquest.io/course/statistics-fundamentals-r/
77,https://www.dataquest.io/course/statistics-intermediate/
78,https://www.dataquest.io/course/storytelling-information-design/
79,https://www.dataquest.io/course/text-processing-cli/
80,https://www.dataquest.io/course/visualize-data-in-power-bi/
81,https://www.dataquest.io/course/visualizing-data-with-excel/
