,links
0,https://www.domestika.org/en/courses/1-illustration-of-a-pin-up-with-traditional-techniques
1,https://www.domestika.org/en/courses/2-stop-motion-for-fun
2,https://www.domestika.org/en/courses/5-by-hand-and-on-the-cover
3,https://www.domestika.org/en/courses/6-build-a-friend-from-pencil-to-movement
4,https://www.domestika.org/en/courses/7-calligraphy-and-rock-n-roll
5,https://www.domestika.org/en/courses/9-reasons-to-repeat
6,https://www.domestika.org/en/courses/10-illustrate-with-confidence-and-you-will-triumph
7,https://www.domestika.org/en/courses/11-design-of-pictograms
8,https://www.domestika.org/en/courses/12-illustrating-time
9,https://www.domestika.org/en/courses/13-creating-your-own-typography
10,https://www.domestika.org/en/courses/15-design-a-delicious-app
11,https://www.domestika.org/en/courses/16-art-direction-and-still-life-composition
12,https://www.domestika.org/en/courses/17-editorial-photography-for-magazines
13,https://www.domestika.org/en/courses/18-create-an-infograph-that-will-make-history
14,https://www.domestika.org/en/courses/19-dj-and-production-of-electronic-music
15,https://www.domestika.org/en/courses/20-fonts-build-your-word
16,https://www.domestika.org/en/courses/21-geometric-collage-without-anaesthesia
17,https://www.domestika.org/en/courses/22-anti-yawn-infographic
18,https://www.domestika.org/en/courses/23-diorama-thinking-in-3d
19,https://www.domestika.org/en/courses/24-graphic-humour-for-beginners
20,https://www.domestika.org/en/courses/25-immersion-in-architectural-photography
21,https://www.domestika.org/en/courses/26-illustration-for-music-lovers
22,https://www.domestika.org/en/courses/27-experimental-graphics
23,https://www.domestika.org/en/courses/28-digital-illustration-collector-s-edition
24,https://www.domestika.org/en/courses/29-visual-handmade-identity
25,https://www.domestika.org/en/courses/30-paper-tailoring-illustrating-with-scissors
26,https://www.domestika.org/en/courses/31-the-comic-is-another-story
27,https://www.domestika.org/en/courses/32-lettering-with-volume
28,https://www.domestika.org/en/courses/33-retro-movement-in-after-effects
29,https://www.domestika.org/en/courses/34-web-design-be-responsive
30,https://www.domestika.org/en/courses/35-the-golden-secrets-of-lettering
31,https://www.domestika.org/en/courses/36-photography-for-the-imagination
32,https://www.domestika.org/en/courses/37-illustration-climax-and-denouement
33,https://www.domestika.org/en/courses/38-calligraphy-and-lettering-for-restless-hands
34,https://www.domestika.org/en/courses/39-after-effects-expressions-for-motion-graphics
35,https://www.domestika.org/en/courses/40-introduction-to-editorial-design
36,https://www.domestika.org/en/courses/41-screen-printing-on-paper
37,https://www.domestika.org/en/courses/42-calligraphy-with-powerful-gothics
38,https://www.domestika.org/en/courses/43-design-and-creation-of-characters
39,https://www.domestika.org/en/courses/44-malviviendo-creation-of-a-web-series
40,https://www.domestika.org/en/courses/46-product-design-game-time-chance-and-material
41,https://www.domestika.org/en/courses/47-express-illustration-with-illustrator-and-photoshop
42,https://www.domestika.org/en/courses/48-the-photograph-of-sin-city-from-the-comic-to-the-screen
43,https://www.domestika.org/en/courses/49-architectonic-and-urban-photography
