,links
0,https://www.futurelearn.com/courses/a-reporters-toolkit-for-the-digital-and-social-media-age-sc
1,https://www.futurelearn.com/courses/a-survey-of-substance-use-disorder-sc
2,https://www.futurelearn.com/courses/an-introduction-to-sustainability-in-the-built-environment
3,https://www.futurelearn.com/courses/learning-through-play-with-lego-braille-bricks-french
4,https://www.futurelearn.com/courses/linux-for-bioinformatics
5,https://www.futurelearn.com/courses/build-a-physical-computing-prototype
6,https://www.futurelearn.com/courses/creating-engaging-content-for-social-media
7,https://www.futurelearn.com/courses/heritage-culturally-diverse-cities
8,https://www.futurelearn.com/courses/decision-making-how-to-choose-the-right-problem-to-solve-sc
9,https://www.futurelearn.com/courses/radiation-protection-in-dental-practice
10,https://www.futurelearn.com/courses/digital-marketing-analytics-and-measurement-advanced-web-analytics
11,https://www.futurelearn.com/courses/digital-marketing-analytics-and-measurement-goals-and-attribution-modelling
12,https://www.futurelearn.com/courses/digital-marketing-analytics-and-measurement-reporting-dashboards
13,https://www.futurelearn.com/courses/digital-marketing-analytics-and-measurement-web-analytics-planning-and-tactics
14,https://www.futurelearn.com/courses/digital-marketing-analytics-and-measurement-web-analytics-in-perspective
15,https://www.futurelearn.com/courses/edward-jenner-programme-course-0-an-introduction-to-personal-development
16,https://www.futurelearn.com/courses/crm-fundamentals-and-practice-introduction-to-salesforce-sc
17,https://www.futurelearn.com/courses/crm-fundamentals-and-practice-salesforce-automation-best-practice-sc
18,https://www.futurelearn.com/courses/crm-fundamentals-and-practice-salesforce-reports-objects-data-management-sc
19,https://www.futurelearn.com/courses/caring-psychosis-schizophrenia
20,https://www.futurelearn.com/courses/climate-change-and-resilience-in-food-systems
21,https://www.futurelearn.com/courses/collaboration-for-sustainable-innovation-and-social-entrepreneurship-sc
22,https://www.futurelearn.com/courses/compassion-in-fashion
23,https://www.futurelearn.com/courses/creating-an-inclusive-classroom-approaches-to-supporting-learners-with-send-in-computing
24,https://www.futurelearn.com/courses/diversity-through-research-sc
25,https://www.futurelearn.com/courses/appropriation-vs-appreciation-sc
26,https://www.futurelearn.com/courses/culture-in-digital-age
27,https://www.futurelearn.com/courses/designing-and-building-with-healthy-materials
28,https://www.futurelearn.com/courses/digital-marketing-content-creation-hosting-and-measurement
29,https://www.futurelearn.com/courses/digital-marketing-content-creation-marketing-channels-and-content-mix
30,https://www.futurelearn.com/courses/digital-marketing-content-creation-online-writing
31,https://www.futurelearn.com/courses/digital-marketing-content-creation-podcast-creation-and-distribution
32,https://www.futurelearn.com/courses/digital-marketing-content-creation-video-creation-and-editing
33,https://www.futurelearn.com/courses/drugs-peace-and-development-rethinking-policy
34,https://www.futurelearn.com/courses/emotional-intelligence-and-critical-thinking-for-problem-solving-sc
35,https://www.futurelearn.com/courses/english-for-stem-understanding-maths-vocabulary
