,links
0,https://www.futurelearn.com/courses/corpus-linguistics
1,https://www.futurelearn.com/courses/dental-photography-in-practice
2,https://www.futurelearn.com/courses/discover-dentistry
3,https://www.futurelearn.com/courses/english-for-study
4,https://www.futurelearn.com/courses/exploring-our-ocean
5,https://www.futurelearn.com/courses/good-brain-bad-brain-basics
6,https://www.futurelearn.com/courses/good-brain-bad-brain-parkinsons
7,https://www.futurelearn.com/courses/higgs
8,https://www.futurelearn.com/courses/inside-cancer
9,https://www.futurelearn.com/courses/introduction-to-forensic-science
10,https://www.futurelearn.com/courses/preparing-for-uni
11,https://www.futurelearn.com/courses/research-project
12,https://www.futurelearn.com/courses/start-writing-fiction
13,https://www.futurelearn.com/courses/the-mind-is-flat
14,https://www.futurelearn.com/courses/understanding-modern-business-and-organisations
15,https://www.futurelearn.com/courses/dysphagia
16,https://www.futurelearn.com/courses/cancer-and-the-genomic-revolution
17,https://www.futurelearn.com/courses/anatomy
18,https://www.futurelearn.com/courses/moons
19,https://www.futurelearn.com/courses/forensic-psychology
20,https://www.futurelearn.com/courses/explore-english-language-culture
21,https://www.futurelearn.com/courses/good-brain-bad-brain-drugs
22,https://www.futurelearn.com/courses/country-house-literature
23,https://www.futurelearn.com/courses/hadrians-wall
24,https://www.futurelearn.com/courses/mental-health-and-well-being
25,https://www.futurelearn.com/courses/the-science-of-medicines
26,https://www.futurelearn.com/courses/introduction-to-cyber-security
27,https://www.futurelearn.com/courses/football
28,https://www.futurelearn.com/courses/ww1-trauma
29,https://www.futurelearn.com/courses/play
30,https://www.futurelearn.com/courses/heart-health
31,https://www.futurelearn.com/courses/liver-disease
32,https://www.futurelearn.com/courses/writing-applications
33,https://www.futurelearn.com/courses/interviews
34,https://www.futurelearn.com/courses/understanding-language
35,https://www.futurelearn.com/courses/empire
36,https://www.futurelearn.com/courses/dyslexia
37,https://www.futurelearn.com/courses/remote-control-warfare
38,https://www.futurelearn.com/courses/soils
39,https://www.futurelearn.com/courses/orion
40,https://www.futurelearn.com/courses/vulnerable-children
41,https://www.futurelearn.com/courses/big-data
42,https://www.futurelearn.com/courses/dutch
43,https://www.futurelearn.com/courses/ageing
44,https://www.futurelearn.com/courses/antimicrobial-stewardship
45,https://www.futurelearn.com/courses/global-blindness
46,https://www.futurelearn.com/courses/valuing-health
47,https://www.futurelearn.com/courses/medicine-and-the-arts
48,https://www.futurelearn.com/courses/inequalities-in-personal-finance
49,https://www.futurelearn.com/courses/clinical-supervision-with-confidence
50,https://www.futurelearn.com/courses/ultrasound-imaging
51,https://www.futurelearn.com/courses/the-genomics-era
52,https://www.futurelearn.com/courses/nutrition-wellbeing
53,https://www.futurelearn.com/courses/contract-management
54,https://www.futurelearn.com/courses/what-is-a-mind
55,https://www.futurelearn.com/courses/propaganda
56,https://www.futurelearn.com/courses/william-wordsworth
57,https://www.futurelearn.com/courses/women-children-health
58,https://www.futurelearn.com/courses/songwriting
59,https://www.futurelearn.com/courses/begin-robotics
60,https://www.futurelearn.com/courses/caring-psychosis-schizophrenia
61,https://www.futurelearn.com/courses/supply-chain-innovation
62,https://www.futurelearn.com/courses/causes-of-climate-change
63,https://www.futurelearn.com/courses/the-science-of-nuclear-energy
64,https://www.futurelearn.com/courses/musical-scores
65,https://www.futurelearn.com/courses/mindfulness-wellbeing-performance
66,https://www.futurelearn.com/courses/intercultural-communication
67,https://www.futurelearn.com/courses/public-financial-management
68,https://www.futurelearn.com/courses/right-to-education
69,https://www.futurelearn.com/courses/risk-management
70,https://www.futurelearn.com/courses/blended-learning-getting-started
71,https://www.futurelearn.com/courses/ecg-assessment
72,https://www.futurelearn.com/courses/clinical-research
73,https://www.futurelearn.com/courses/online-learning
74,https://www.futurelearn.com/courses/multilingual
75,https://www.futurelearn.com/courses/exploring-possible-futures
76,https://www.futurelearn.com/courses/anxiety-depression-and-cbt
77,https://www.futurelearn.com/courses/food-fraud
78,https://www.futurelearn.com/courses/blended-learning-embedding-practice
79,https://www.futurelearn.com/courses/physical-theatre-exploring-the-slap
80,https://www.futurelearn.com/courses/fashion-innovation
81,https://www.futurelearn.com/courses/the-worlds-greatest-innovations
82,https://www.futurelearn.com/courses/starting-a-business-1
83,https://www.futurelearn.com/courses/anatomy-know-your-abdomen
84,https://www.futurelearn.com/courses/starting-a-business-2
85,https://www.futurelearn.com/courses/starting-a-business-3
86,https://www.futurelearn.com/courses/starting-a-business-4
87,https://www.futurelearn.com/courses/starting-a-business-5
88,https://www.futurelearn.com/courses/starting-a-business-6
89,https://www.futurelearn.com/courses/ww1-heroism-art-film
90,https://www.futurelearn.com/courses/reading-digital
91,https://www.futurelearn.com/courses/screenwriting
92,https://www.futurelearn.com/courses/explore-english-magna-carta
93,https://www.futurelearn.com/courses/liver-transplant
94,https://www.futurelearn.com/courses/explore-english-shakespeare
95,https://www.futurelearn.com/courses/music-moves
96,https://www.futurelearn.com/courses/statistical-shape-modelling
97,https://www.futurelearn.com/courses/social-media-in-healthcare
