,title,text_under_title,hours,Preparation for,Hours to earn certificate,cost,Instructor,Instructor_profile,lessons,Builds on
0,Intro to Programming,"Get started with Python, if you have no coding experience.",5 hours to go,['Python'],5 (estimated),"No cost, like all Kaggle Learn Courses",Alexis Cook,https://www.kaggle.com/alexisbcook,"{'Arithmetic and Variables': 'Make calculations, and define and modify variables.', 'Functions': 'Organize your code and avoid redundancy.', 'Data Types': 'Explore integers, floats, booleans, and strings.', 'Conditions and Conditional Statements': 'Modify how functions run, depending on the input.', 'Intro to Lists': 'Organize your data so you can work with it efficiently.'}",
1,Python,Learn the most important language for data science.,5 hours to go,"['Intro to Machine Learning', 'Pandas', 'Intro to SQL', 'Intro to Game AI and Reinforcement Learning']",5 (estimated),"No cost, like all Kaggle Learn Courses",Colin Morris,https://www.kaggle.com/colinmorris,"{'Hello, Python': 'A quick introduction to Python syntax, variable assignment, and numbers', 'Functions and Getting Help': ""Calling functions and defining our own, and using Python's builtin documentation"", 'Booleans and Conditionals': 'Using booleans for branching logic', 'Lists': 'Lists and the things you can do with them. Includes indexing, slicing and mutating', 'Loops and List Comprehensions': 'For and while loops, and a much-loved Python feature: list comprehensions', 'Strings and Dictionaries': 'Working with strings and dictionaries, two fundamental Python data types', 'Working with External Libraries': 'Imports, operator overloading, and survival tips for venturing into the world of external libraries'}",Intro to Programming
2,Intro to Machine Learning,"Learn the core ideas in machine learning, and build your first models.",3 hours to go,"['Machine Learning Explainability', 'Intermediate Machine Learning', 'Intro to Deep Learning']",3 (estimated),"No cost, like all Kaggle Learn Courses",Dan Becker,https://www.kaggle.com/dansbecker,"{'How Models Work': ""The first step if you're new to machine learning."", 'Basic Data Exploration': 'Load and understand your data.', 'Your First Machine Learning Model': 'Building your first model. Hurray!', 'Model Validation': 'Measure the performance of your model, so you can test and compare alternatives.', 'Underfitting and Overfitting': 'Fine-tune your model for better performance.', 'Random Forests': 'Using a more sophisticated machine learning algorithm.', 'Machine Learning Competitions': 'Enter the world of machine learning competitions to keep improving and see your progress.'}",Python
3,Pandas,Solve short hands-on challenges to perfect your data manipulation skills.,4 hours to go,"['Geospatial Analysis', 'Data Cleaning', 'Intermediate Machine Learning']",4 (estimated),"No cost, like all Kaggle Learn Courses",Aleksey Bilogur,https://www.kaggle.com/residentmario,"{'Creating, Reading and Writing': ""You can't work with data if you can't read it. Get started here."", 'Indexing, Selecting & Assigning': 'Pro data scientists do this dozens of times a day. You can, too!', 'Summary Functions and Maps': 'Extract insights from your data.', 'Grouping and Sorting': 'Scale up your level of insight. The more complex the dataset, the more this matters', 'Data Types and Missing Values': 'Deal with the most common progress-blocking problems', 'Renaming and Combining': 'Data comes in from many sources. Help it all make sense together'}",Python
4,Intermediate Machine Learning,"Handle missing values, non-numeric values, data leakage, and more.",4 hours to go,"['Feature Engineering', 'Time Series']",4 (estimated),"No cost, like all Kaggle Learn Courses",Alexis Cook,https://www.kaggle.com/alexisbcook,"{'Introduction': 'Review what you need for this course.', 'Missing Values': 'Missing values happen. Be prepared for this common challenge in real datasets.', 'Categorical Variables': ""There's a lot of non-numeric data out there. Here's how to use it for machine learning."", 'Pipelines': 'A critical skill for deploying (and even testing) complex models with pre-processing.', 'Cross-Validation': 'A better way to test your models.', 'XGBoost': 'The most accurate modeling technique for structured data.', 'Data Leakage': 'Find and fix this problem that ruins your model in subtle ways.'}",Intro to Machine Learning
5,Data Visualization,Make great data visualizations. A great way to see the power of coding!,4 hours to go,,4 (estimated),"No cost, like all Kaggle Learn Courses",Alexis Cook,https://www.kaggle.com/alexisbcook,"{'Hello, Seaborn': 'Your first introduction to coding for data visualization', 'Line Charts': 'Visualize trends over time', 'Bar Charts and Heatmaps': 'Use color or length to compare categories in a dataset', 'Scatter Plots': 'Leverage the coordinate plane to explore relationships between variables', 'Distributions': 'Create histograms and density plots', 'Choosing Plot Types and Custom Styles': 'Customize your charts and make them look snazzy', 'Final Project': 'Practice for real-world application', 'Creating Your Own Notebooks': 'How to put your new skills to use for your next personal or work project'}",
6,Feature Engineering,Better features make better models. Discover how to get the most out of your data.,5 hours to go,,5 (estimated),"No cost, like all Kaggle Learn Courses",Ryan Holbrook,https://www.kaggle.com/ryanholbrook,"{'What Is Feature Engineering': 'Learn the steps and principles of creating better features', 'Mutual Information': 'Locate features with the most potential.', 'Creating Features': 'Transform features with Pandas to suit your model.', 'Clustering With K-Means': 'Untangle complex spatial relationships with cluster labels.', 'Principal Component Analysis': 'Discover new features by analyzing variation.', 'Target Encoding': 'Boost any categorical feature with this powerful technique.'}",Intermediate Machine Learning
7,Intro to SQL,"Learn SQL for working with databases, using Google BigQuery.",3 hours to go,['Advanced SQL'],3 (estimated),"No cost, like all Kaggle Learn Courses",Rachael Tatman,https://www.kaggle.com/rtatman,"{'Getting Started With SQL and BigQuery': 'Learn the workflow for handling big datasets with BigQuery and SQL', 'Select, From & Where': 'The foundational compontents for all SQL queries', 'Group By, Having & Count': 'Get more interesting insights directly from your SQL queries', 'Order By': 'Order your results to focus on the most important data for your use case.', 'As & With': 'Organize your query for better readability. This becomes especially important for complex queries.', 'Joining Data': 'Combine data sources. Critical for almost all real-world data problems'}",Python
8,Advanced SQL,Take your SQL skills to the next level.,4 hours to go,,4 (estimated),"No cost, like all Kaggle Learn Courses",Alexis Cook,https://www.kaggle.com/alexisbcook,"{'JOINs and UNIONs': 'Combine information from multiple tables.', 'Analytic Functions': 'Perform complex calculations on groups of rows.', 'Nested and Repeated Data': 'Learn to query complex datatypes in BigQuery.', 'Writing Efficient Queries': 'Write queries to run faster and use less data.'}",Intro to SQL
9,Intro to Deep Learning,Use TensorFlow and Keras to build and train neural networks for structured data.,4 hours to go,['Computer Vision'],4 (estimated),"No cost, like all Kaggle Learn Courses",Ryan Holbrook,https://www.kaggle.com/ryanholbrook,"{'A Single Neuron': 'Learn about linear units, the building blocks of deep learning.', 'Deep Neural Networks': 'Add hidden layers to your network to uncover complex relationships.', 'Stochastic Gradient Descent': 'Use Keras and Tensorflow to train your first neural network.', 'Overfitting and Underfitting': 'Improve performance with extra capacity or early stopping.', 'Dropout and Batch Normalization': 'Add these special layers to prevent overfitting and stabilize training.', 'Binary Classification': 'Apply deep learning to another common task.'}",Intro to Machine Learning
