,links
0,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/introduction-d03b0f74-dc95-41df-85b9-fcc823501abd
1,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/gordon-s-journey-learning-from-masters
2,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/method-kitchen-layout
3,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/mastering-ingredients-vegetables-herbs
4,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/make-poached-egg-mushrooms-on-toast
5,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/method-knife-skills
6,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/make-elevated-scrambled-eggs
7,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/method-breaking-down-a-whole-chicken
8,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/make-chicken-supreme-with-root-vegetables
9,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/mastering-ingredients-fish-shellfish
10,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/gordon-s-journey-becoming-a-master
11,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/method-breaking-down-a-whole-fish
12,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/make-salmon-with-shellfish-minestrone
13,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/method-making-pasta-dough
14,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/method-rolling-pasta-dough
15,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/make-lobster-ravioli
16,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/mastering-ingredients-beef-lamb-pork
17,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/make-beef-wellington
18,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/advice-for-life
19,https://www.masterclass.com/classes/gordon-ramsay-teaches-cooking/chapters/closing-2aea432b-742b-4d31-965d-5afe3a0baea0
20,https://www.masterclass.com/classes/thomas-keller-teaches-cooking-techniques/chapters/tk-introduction
21,https://www.masterclass.com/classes/thomas-keller-teaches-cooking-techniques/chapters/kitchen-setup-essential-tools
22,https://www.masterclass.com/classes/thomas-keller-teaches-cooking-techniques/chapters/kitchen-setup-essential-ingredients
23,https://www.masterclass.com/classes/thomas-keller-teaches-cooking-techniques/chapters/kitchen-setup-cookware
24,https://www.masterclass.com/classes/thomas-keller-teaches-cooking-techniques/chapters/sourcing-ingredients
25,https://www.masterclass.com/classes/thomas-keller-teaches-cooking-techniques/chapters/vegetables-an-introduction
