,title,level,Prerequisites,Duration,Languages,Course Details,days details
0,MATLAB for Financial Applications,"Level: 
Fundamental",['Undergraduate-level mathematics and experience with basic computer operations'],"Duration: 
3 days","Languages: 
English","
This three-day course provides a comprehensive introduction to the MATLAB® technical computing environment for financial professionals. The course is intended for beginning users and those looking for a review. No prior programming experience or knowledge of MATLAB is assumed. Themes of data analysis, visualization, modeling, and programming are explored throughout the course, with an emphasis on practical application to finance, such as time-series analysis, Monte Carlo simulation, portfolio management, and empirical modeling.
Topics include:

Working with the MATLAB user interface
Entering commands and creating variables
Importing and organizing data from spreadsheets and other data sources
Working with financial data in MATLAB
Working with dates and times
Visualizing data
Filtering datasets based on logical criteria
Automating commands with scripts
Writing programs with branching and loops
Writing functions
Performing data analysis, modeling, and simulation
Optimizing mean-variance portfolios







This program has been approved by GARP and qualifies for 21 GARP CPD credit hours. If you are a Certified FRM or ERP, please record this activity in your credit tracker at https://www.garp.org/cpd







","
Day 1 of 3






Working with the MATLAB User Interface



Objective: Become familiar with the main features of the MATLAB integrated design environment and its user interfaces. Get an overview of course themes.

Reading data from files
Saving and loading variables
Plotting data interactively
Customizing plots
Exporting graphics for use in other applications




Variables and Commands



Objective: Enter MATLAB commands, with an emphasis on creating and accessing numeric and text data. Collect MATLAB commands into code files for reproduction and automation. Learn how to perform tasks such as data import, analysis, and report generation.

Entering commands
Creating numeric and text variables
Making and annotating plots
Getting help
Creating and running live scripts
Formatting and sharing live scripts




Working with Time Series



Objective: Import time-based data as a MATLAB timetable. Use variables to represent and manipulate dates and time durations.

Storing data in timetables
Operating on timetables
Creating vector variables
Accessing and manipulating data
Performing calculations with dates and durations




Day 2 of 3






Data Analysis



Objective: Perform mathematical and statistical calculations on numerical data. Use MATLAB syntax to perform preprocessing and analysis tasks on multiple price series with single commands.

Performing calculations on data
Interpreting matrix data
Using matrices for analysis
Visualizing matrix data




Conditional Data Selection



Objective: Analyze subsets of data that satisfy given criteria.

Logical operations and variables
Finding and counting
Logical indexing
Managing discrete variables using categorical arrays




Increasing Automation with Programming Constructs



Objective: Create flexible code that can interact with the user, make decisions, and adapt to different situations.

Programming constructs
User interaction
Retrieving data from datafeeds
Decision branching
Loops




Day 3 of 3






Increasing Automation with Functions



Objective: Increase automation by encapsulating modular tasks as user-defined functions. Understand how MATLAB resolves references to files and variables. Use MATLAB development tools to find and correct problems with code.

Creating functions
Calling functions
Setting the MATLAB path
Debugging
Using breakpoints




Fitting Models to Empirical Data



Objective: Preprocess data prior to model fitting. Fit probability distributions and linear models to data. Generate random numbers from a theoretical or fitted distribution.

Dealing with missing data
Fitting linear regression models
Fitting probability distributions
Simulating from distribution fits




Portfolio Creation



Objective: Use standard mean-variance metrics and a small set of portfolio constraints to define and analyze a set of feasible portfolio constraints to define and analyze a set of feasible portfolios.

The portfolio data type
Defining a universe of assets
Defining investment constraints
Estimating and visualizing an efficient frontier



"
1,MATLAB Fundamentals,"Level: 
Fundamental",['Undergraduate-level mathematics and experience with basic computer operations'],"Duration: 
3 days","Languages: 
Deutsch, English, Français, 日本語, 한국어, 中文","
This three-day course provides a comprehensive introduction to the MATLAB® technical computing environment. No prior programming experience or knowledge of MATLAB is assumed. Themes of data analysis, visualization, modeling, and programming are explored throughout the course.



Topics include:

Working with the MATLAB user interface
Entering commands and creating variables
Analyzing vectors and matrices
Visualizing vector and matrix data
Working with data files
Working with data types
Automating commands with scripts
Writing programs with branching and loops
Writing functions




","
Day 1 of 3






Working with the MATLAB User Interface



Objective: Become familiar with the main features of the MATLAB integrated design environment and its user interfaces. Get an overview of course themes.

Reading data from files
Saving and loading variables
Plotting data
Customizing plots
Exporting graphics for use in other applications




Variables and Commands



Objective: Enter MATLAB commands, with an emphasis on creating variables, accessing and manipulating data in variables, and creating basic visualizations. Collect MATLAB commands into scripts for ease of reproduction and experimentation.

Entering commands
Creating numeric and character variables
Making and annotating plots
Getting help
Creating and running live scripts




Analysis and Visualization with Vectors



Objective: Perform mathematical and statistical calculations with vectors. Use MATLAB syntax to perform calculations on whole data sets with a single command. Organize scripts into logical sections for development, maintenance, and publishing.

Performing calculations with vectors
Accessing and modifying values in vectors
Formatting and sharing live scripts




Day 2 of 3






Analysis and Visualization with Matrices



Objective: Use matrices as mathematical objects or as collections of (vector) data. Understand the appropriate use of MATLAB syntax to distinguish between these applications.

Creating and manipulating matrices
Performing calculations with matrices
Calculating statistics with matrix data
Visualizing matrix data




Tables of Data



Objective: Import data as a MATLAB table. Work with data stored as a table.

Storing data as a table
Operating on tables
Extracting data from tables
Modifying tables




Conditional Data Selection



Objective: Extract and analyze subsets of data that satisfy given criteria.

Logical operations and variables
Finding and counting
Logical indexing




Organizing Data



Objective: Organize table data for analysis. Represent data using appropriate native MATLAB data types.

Combining tables of data
Table metadata
Dates and durations
Discrete categories




Day 3 of 3






Analyzing Data



Objective: Perform typical data analysis tasks in MATLAB, including importing data from files, preprocessing data, fitting a model to data, and creating a customized visualization of the model.

Importing from spreadsheets and delimited text files
Dealing with missing data
Plotting functions
Customizing plots




Increasing Automation with Programming Constructs



Objective: Create flexible code that can interact with the user, make decisions, and adapt to different situations.

Programming constructs
User interaction
Decision branching
Loops




Increasing Automation with Functions



Objective: Increase automation by encapsulating modular tasks as user-defined functions. Understand how MATLAB resolves references to files and variables. Use MATLAB development tools to find and correct problems with code.

Creating functions
Calling functions
Setting the MATLAB path
Debugging
Using breakpoints
Creating and using structures



"
2,MATLAB Fundamentals for Aerospace Applications,"Level: 
Fundamental",['Undergraduate-level mathematics and experience with basic computer operations'],"Duration: 
3 days",,"
This three-day course provides a comprehensive introduction to the MATLAB® technical computing environment for aerospace engineers. No prior programming experience or knowledge of MATLAB is assumed. Themes of data analysis, visualization, modeling, and programming are explored throughout the course, with an emphasis on practical application to aerospace engineering. 
Topics include:

Working with the MATLAB user interface
Entering commands and creating variables
Analyzing vectors and matrices
Visualizing vector and matrix data
Working with data files
Working with data types
Automating commands with scripts
Writing programs with branching and loops
Writing functions




","
Day 1 of 3






Working with the MATLAB User Interface



Objective: Become familiar with the main features of the MATLAB integrated design environment and its user interfaces. Get an overview of course themes.

Reading data from files
Saving and loading variables
Plotting data
Customizing plots
Exporting graphics for use in other applications




Variables and Commands



Objective: Enter MATLAB commands, with an emphasis on creating variables, accessing and manipulating data in variables, and creating basic visualizations. Collect MATLAB commands into scripts for ease of reproduction and experimentation.

Entering commands
Creating numeric and character variables
Making and annotating plots
Getting help
Creating and running live scripts




Analysis and Visualization with Vectors



Objective: Perform mathematical and statistical calculations with vectors. Use MATLAB syntax to perform calculations on whole data sets with a single command. Organize scripts into logical sections for development, maintenance, and publishing.

Performing calculations with vectors
Accessing and modifying values in vectors
Formatting and sharing live scripts




Day 2 of 3






Analysis and Visualization with Matrices



Objective: Use matrices as mathematical objects or as collections of (vector) data. Understand the appropriate use of MATLAB syntax to distinguish between these applications.

Creating and manipulating matrices
Performing calculations with matrices
Calculating statistics with matrix data
Visualizing matrix data




Tables of Data



Objective: Import data as a MATLAB table. Work with data stored as a table.

Storing data as a table
Operating on tables
Extracting data from tables
Modifying tables




Conditional Data Selection



Objective: Extract and analyze subsets of data that satisfy given criteria.

Logical operations and variables
Finding and counting
Logical indexing




Organizing Data



Objective: Organize table data for analysis. Represent data using appropriate native MATLAB data types.

Combining tables of data
Table metadata
Dates and durations
Discrete categories




Day 3 of 3






Analyzing Data



Objective: Perform typical data analysis tasks in MATLAB, including importing data from files, preprocessing data, fitting a model to data, and creating a customized visualization of the model.

Importing from spreadsheets and delimited text files
Dealing with missing data
Plotting functions
Customizing plots




Increasing Automation with Programming Constructs



Objective: Create flexible code that can interact with the user, make decisions, and adapt to different situations.

Programming constructs
User interaction
Decision branching
Loops




Increasing Automation with Functions



Objective: Increase automation by encapsulating modular tasks as user-defined functions. Understand how MATLAB resolves references to files and variables. Use MATLAB development tools to find and correct problems with code.

Creating functions
Calling functions
Setting the MATLAB path
Debugging
Using breakpoints
Creating and using structures



"
3,MATLAB Fundamentals for Automotive Applications,"Level: 
Fundamental",['Undergraduate-level mathematics and experience with basic computer operations'],"Duration: 
3 days","Languages: 
Deutsch","
This three-day course provides a comprehensive introduction to the MATLAB® technical computing environment for automotive engineers. No prior programming experience or knowledge of MATLAB is assumed. Themes of data analysis, visualization, modeling, and programming are explored throughout the course, with an emphasis on practical application to automotive engineering. 
Topics include:

Working with the MATLAB user interface
Entering commands and creating variables
Analyzing vectors and matrices
Visualizing vector and matrix data
Working with data files
Working with data types
Automating commands with scripts
Writing programs with branching and loops
Writing functions




","
Day 1 of 3






Working with the MATLAB User Interface



Objective: Become familiar with the main features of the MATLAB integrated design environment and its user interfaces. Get an overview of course themes.

Reading data from files
Saving and loading variables
Plotting data
Customizing plots
Exporting graphics for use in other applications




Variables and Commands



Objective: Enter MATLAB commands, with an emphasis on creating variables, accessing and manipulating data in variables, and creating basic visualizations. Collect MATLAB commands into scripts for ease of reproduction and experimentation.

Entering commands
Creating numeric and character variables
Making and annotating plots
Getting help
Creating and running live scripts




Analysis and Visualization with Vectors



Objective: Perform mathematical and statistical calculations with vectors. Use MATLAB syntax to perform calculations on whole data sets with a single command. Organize scripts into logical sections for development, maintenance, and publishing.

Performing calculations with vectors
Accessing and modifying values in vectors
Formatting and sharing live scripts




Day 2 of 3






Analysis and Visualization with Matrices



Objective: Use matrices as mathematical objects or as collections of (vector) data. Understand the appropriate use of MATLAB syntax to distinguish between these applications.

Creating and manipulating matrices
Performing calculations with matrices
Calculating statistics with matrix data
Visualizing matrix data




Tables of Data



Objective: Import data as a MATLAB table. Work with data stored as a table.

Storing data as a table
Operating on tables
Extracting data from tables
Modifying tables




Conditional Data Selection



Objective: Extract and analyze subsets of data that satisfy given criteria.

Logical operations and variables
Finding and counting
Logical indexing




Organizing Data



Objective: Organize table data for analysis. Represent data using appropriate native MATLAB data types.

Combining tables of data
Table metadata
Dates and durations
Discrete categories




Day 3 of 3






Analyzing Data



Objective: Perform typical data analysis tasks in MATLAB, including importing data from files, preprocessing data, fitting a model to data, and creating a customized visualization of the model.

Importing from spreadsheets and delimited text files
Dealing with missing data
Plotting functions
Customizing plots




Increasing Automation with Programming Constructs



Objective: Create flexible code that can interact with the user, make decisions, and adapt to different situations.

Programming constructs
User interaction
Decision branching
Loops




Increasing Automation with Functions



Objective: Increase automation by encapsulating modular tasks as user-defined functions. Understand how MATLAB resolves references to files and variables. Use MATLAB development tools to find and correct problems with code.

Creating functions
Calling functions
Setting the MATLAB path
Debugging
Using breakpoints
Creating and using structures



"
4,Simulink Fundamentals,"Level: 
Fundamental",['MATLAB Fundamentals'],"Duration: 
2 days","Languages: 
Deutsch, English, Français, Italiano, 日本語, 한국어, 中文","
This course (formerly known as Simulink for System and Algorithm Modeling) is for engineers new to system and algorithm modeling in Simulink®. It teaches attendees how to apply basic modeling techniques and tools to develop Simulink block diagrams.
Topics include:

Creating and modifying Simulink models and simulating system dynamics
Modeling continuous-time, discrete-time, and hybrid systems
Modifying solver settings for simulation accuracy and speed
Building hierarchy into a Simulink model
Creating reusable model components using subsystems, libraries, and model references

If your application is signal processing or communications, please refer to the Signal Processing with Simulink course.



","
Day 1 of 2






Creating and Simulating a Model



Objective: Create a simple Simulink model, simulate it, and analyze the results.

Introduction to the Simulink interface
Potentiometer system
System inputs and outputs
Simulation and analysis




Modeling Programming Constructs



Objective: Model and simulate basic programming constructs in Simulink.

Comparisons and decision statements
Vector signals
PWM conversion system
Zero crossings
MATLAB Function block




Modeling Discrete Systems



Objective: Model and simulate discrete systems in Simulink.

Discrete signals and states
PI controller system
Discrete transfer functions and state-space systems
Multirate discrete systems




Modeling Continuous Systems



Objective: Model and simulate continuous systems in Simulink.

Continuous states
Throttle system
Continuous transfer functions and state-space systems
Physical boundaries




Day 2 of 2






Solver Selection



Objective: Select a solver that is appropriate for a given Simulink model.

Solver behavior
System dynamics
Discontinuities
Algebraic loops




Developing Model Hierarchy



Objective: Use subsystems to combine smaller systems into larger systems.

Subsystems
Bus signals
Masks




Modeling Conditionally Executed Algorithms



Objective: Create subsystems that are executed based on a control signal input.

Conditionally executed subsystems
Enabled subsystems
Triggered subsystems
Input validation model




Combining Models into Diagrams



Objective: Use model referencing to combine models.

Subsystems and model referencing
Model referencing workflow
Model reference simulation modes
Model workspaces
Model dependencies




Creating Libraries



Objective: Use libraries to create and distribute custom blocks.

Creating and populating libraries
Managing library links
Adding a library to the Simulink Library Browser



"
5,Simulink Fundamentals for Aerospace Applications,"Level: 
Fundamental",['MATLAB Fundamentals for Aerospace Applications'],"Duration: 
2 days",,"
Based on Simulink Fundamentals, this course is for aerospace engineers new to system and algorithm modeling in Simulink®. It teaches attendees how to apply basic modeling techniques and tools to develop Simulink block diagrams.
Topics include:

Creating and modifying Simulink models and simulating system dynamics
Modeling continuous-time, discrete-time, and hybrid systems
Modifying solver settings for simulation accuracy and speed
Building hierarchy into a Simulink model
Creating reusable model components using subsystems, libraries, and model references




","
Day 1 of 2






Creating and Simulating a Model
Objective: Create a simple Simulink model, simulate it, and analyze the results.

Introduction to the Simulink interface
Potentiometer system
System inputs and outputs
Simulation and analysis

Modeling Programming Constructs
Objective: Model and simulate basic programming constructs in Simulink.

Comparisons and decision statements
Vector signals
PWM conversion system
Zero crossings
MATLAB Function block

Modeling Discrete Systems
Objective: Model and simulate discrete systems in Simulink.

Discrete signals and states
PI controller system
Discrete transfer functions and state-space systems
Multirate discrete systems

Modeling Continuous Systems
Objective: Model and simulate continuous systems in Simulink.

Continuous states
Throttle system
Continuous transfer functions and state-space systems
Physical boundaries




Day 2 of 2






Solver Selection
Objective: Select a solver that is appropriate for a given Simulink model.

Solver behavior
System dynamics
Discontinuities
Algebraic loops

Developing Model Hierarchy
Objective: Use subsystems to combine smaller systems into larger systems.

Subsystems
Bus signals
Masks

Modeling Conditionally Executed Algorithms
Objective: Create subsystems that are executed based on a control signal input.

Conditionally executed subsystems
Enabled subsystems
Triggered subsystems
Input validation model

Combining Models into Diagrams
Objective: Use model referencing to combine models.

Subsystems and model referencing
Model referencing workflow
Model reference simulation modes
Model workspaces
Model dependencies

Creating Libraries
Objective: Use libraries to create and distribute custom blocks.

Creating and populating libraries
Managing library links
Adding a library to the Simulink Library Browser



"
6,Simulink Fundamentals for Automotive Applications,"Level: 
Fundamental",['MATLAB Fundamentals for Automotive Applications'],"Duration: 
2 days","Languages: 
Deutsch, English, 日本語","
Based on Simulink Fundamentals, this course is for automotive engineers new to system and algorithm modeling in Simulink®. It teaches attendees how to apply basic modeling techniques and tools to develop Simulink block diagrams.
Topics include:

Creating and modifying Simulink models and simulating system dynamics
Modeling continuous-time, discrete-time, and hybrid systems
Modifying solver settings for simulation accuracy and speed
Building hierarchy into a Simulink model
Creating reusable model components using subsystems, libraries, and model references




","
Day 1 of 2






Creating and Simulating a Model
Objective: Create a simple Simulink model, simulate it, and analyze the results.

Introduction to the Simulink interface
Potentiometer system
System inputs and outputs
Simulation and analysis

Modeling Programming Constructs
Objective: Model and simulate basic programming constructs in Simulink.

Comparisons and decision statements
Vector signals
PWM conversion system
Zero crossings
MATLAB Function block

Modeling Discrete Systems
Objective: Model and simulate discrete systems in Simulink.

Discrete signals and states
PI controller system
Discrete transfer functions and state-space systems
Multirate discrete systems

Modeling Continuous Systems
Objective: Model and simulate continuous systems in Simulink.

Continuous states
Throttle system
Continuous transfer functions and state-space systems
Physical boundaries




Day 2 of 2






Solver Selection
Objective: Select a solver that is appropriate for a given Simulink model.

Solver behavior
System dynamics
Discontinuities
Algebraic loops

Developing Model Hierarchy
Objective: Use subsystems to combine smaller systems into larger systems.

Subsystems
Bus signals
Masks

Modeling Conditionally Executed Algorithms
Objective: Create subsystems that are executed based on a control signal input.

Conditionally executed subsystems
Enabled subsystems
Triggered subsystems
Input validation model

Combining Models into Diagrams
Objective: Use model referencing to combine models.

Subsystems and model referencing
Model referencing workflow
Model reference simulation modes
Model workspaces
Model dependencies

Creating Libraries
Objective: Use libraries to create and distribute custom blocks.

Creating and populating libraries
Managing library links
Adding a library to the Simulink Library Browser



"
7,Accelerating and Parallelizing MATLAB Code,"Level: 
Intermediate",['MATLAB Fundamentals'],"Duration: 
2 days","Languages: 
English, 한국어","
This two-day course covers a variety of techniques for making your MATLAB® code run faster. You will identify and remove computational bottle-necks using techniques like preallocation and vectorization. In addition, you will compile MATLAB code into MEX-files using MATLAB Coder™. On top of that, you will take advantage of multiple cores on your computer by parallelizing for-loops with Parallel Computing Toolbox™, and scale up across multiple computers using MATLAB Parallel Server™. Interplay between those concepts will be explored throughout the course. If you are working with long-running simulations, you will benefit from the hands-on demonstrations and exercises in the course.
Topics include:

Improving performance within core MATLAB
Generating MEX-files
Parallelizing computations
Offloading execution
Working with clusters
GPU computing




","
Day 1 of 2






Improving Performance



Objective: Analyze code performance and utilize techniques for acceleration within MATLAB.

Identifying bottle necks
Preallocating arrays
Vectorizing operations in various ways
Rewriting algorithms




Generating MEX-Files



Objective: Generate compiled code files from MATLAB code for better performance.

MATLAB Coder overview and workflow
Generating and verifying MEX-files
Calling unsupported functions
Adjusting settings for MEX-file generation




Parallelizing Computations



Objective: Parallelize code execution to take advantage of multiple cores.

Opening additional MATLAB processes
Running parallel for-loops
Measuring speedup
Processing multiple files in parallel




Day 2 of 2






Parallel for-Loops



Objective: Explore parallel for-loops in more detail and apply techniques for converting for-loops to parfor-loops.

Requirements of parallel for-loops
Parallelizing for-loops
Retrieving intermediate results




Offloading Execution



Objective: Offload computations to another MATLAB process in order to be able to use MATLAB for other tasks in the meantime. This is also a preparation step for working with clusters.

Processing in batch
Creating batch jobs
Retrieving results
Using the Job Monitor




Working with Clusters



Objective: Accelerate computations and realize more extensive simulations by utilizing multiple computers.

Local and remote clusters
Dynamic licensing
Cluster discovery and connection
File access considerations




GPU Computing



Objective: Execute MATLAB code on your computer’s graphics card (GPU) as another option for speeding up calculations.

Overview of GPU architecture and processing
Applications suitable for GPU processing
Invoking MATLAB functions on the GPU
Generating CUDA® MEX files using GPU Coder™
Using pre-existing CUDA code



"
8,Advanced MATLAB Application Development,"Level: 
Intermediate","['MATLAB Programming Techniques\xa0and some experience of working with MATLAB graphics objects', 'Some existing knowledge of object-oriented programming in MATLAB or Object-Oriented Programming with MATLAB']","Duration: 
2 days","Languages: 
English","
This two-day course provides a comprehensive introduction to the key principles and techniques of object-oriented application development using MATLAB®. The course is intended for MATLAB developers who will create medium- and large-scale applications for end users, as well as existing application developers looking for best practices and guidelines for structuring their code base. The course focuses on interactive application development, although the techniques are applicable to any large-scale application.



Topics include:

Applying the Model-View-Controller (MVC) design pattern in MATLAB
Creating a model class to act as a data repository for an application
Working effectively with MATLAB graphics and user-interface control objects
Managing the layout of application components
Designing view classes to visualize application data
Designing controller classes to enable user interaction with the application
Integrating application components within an application launcher class
Packaging, deploying, and sharing apps




","
Day 1 of 2






Organizing Application Data in a Model Class



Objective: Create a model class to act as a data repository for an application and store the state of the system. Define and implement the core model responsibilities and actions.

Exploring models within the MVC framework
Avoiding unnecessary data copies
Storing application data
Providing access to data for visualization
Providing mechanisms for control operations on the data
Communicating changes of state or data




Managing Application Layout



Objective: Create, access, and modify graphics objects within the MATLAB graphics hierarchy. Use predefined graphics callback functions. Use layout management objects to organize the appearance of the application's graphics objects and controls.

Navigating the MATLAB graphics hierarchy
Creating, accessing, and modifying graphics and control objects
Working with commonly used graphics objects
Organizing application components using layout management objects
Using predefined graphics callback functions




Visualizing Application Data with View Classes



Objective: Define view classes for visualizing application data. Define and implement the core view responsibilities and actions.

Views within the MVC framework
The relationship of a view to a model
The relationship of a view to its graphics objects
Dynamic updates to views using listeners and callbacks
The interaction between a model and its views




Day 2 of 2






Design Considerations for View and Controller Components



Objective: Simplify the development of view and controller classes using inheritance. Provide end users with a convenient means of interacting with the application components. Ensure robust application behavior by managing the lifecycle of view and controller components.

Unifying common properties and methods in a component superclass
Unifying common construction code
Using abstract methods to create a common interface
Creating a user-friendly component API
Managing the lifecycle of component objects




Enabling Interactive User Control with Controller Classes



Objective: Create controller classes to provide user interaction with the application data. Define and implement the core controller responsibilities and actions.

Controllers within the MVC framework
The relationship of a controller to a model
The relationship of a controller to its graphics objects
Hybrid components that are both a view and a controller
The interaction between a model and its controllers




Integrating Components with an Application Launcher



Objective: Integrate all application components and create a class managing the initialization, dependencies, and running status of an application. Define and implement the core application launcher responsibilities and actions.

Creating the main application figure and layout
Creating and storing the application components
Designing applications with menus and toolbars
Packaging and updating apps



"
9,Automated Driving with MATLAB,"Level: 
Intermediate","['MATLAB Fundamentals', 'Image Processing with MATLAB, Computer Vision with MATLAB and basic knowledge of image processing and computer vision concepts', 'Deep Learning with MATLAB is recommended']","Duration: 
2 days","Languages: 
English, 日本語, 한국어","
This two-day course provides hands-on experience with developing and verifying automated driving perception algorithms. Examples and exercises demonstrate the use of appropriate MATLAB® and Automated Driving Toolbox™ functionality.
Topics include:

Labeling of ground truth data
Visualizing sensor data
Detecting lanes and vehicles
Processing lidar point clouds
Tracking and sensor fusion
Generating driving scenarios and modeling sensors




","
Day 1 of 2






Labeling of Ground Truth Data



Objective: Label ground truth data in a video or sequence of images interactively. Automate the labeling with detection and tracking algorithms.

Overview of the Ground Truth Labeler app
Label regions of interest (ROIs) and scenes
Automate labeling
View and export ground truth results




Visualizing Sensor Data



Objective: Visualize camera frames, radar, and lidar detections. Use appropriate coordinate systems to transform image coordinates to vehicle coordinates and vice versa.

Create a bird’s-eye plot
Plot sensor coverage areas
Visualize detections and lanes
Convert from vehicle to image coordinates
Annotate video with detections and lane boundaries




Detecting Lanes and Vehicles



Objective: Segment and model parabolic lane boundaries. Use pretrained object detectors to detect vehicles.

Perform a bird’s-eye view transform
Detect lane features
Compute lane model
Validate lane detection with ground truth
Detect vehicles with pretrained object detectors




Processing Lidar Point Clouds



Objective: Work with lidar data stored as 3-D point clouds. Import, visualize, and process point clouds by segmenting them into clusters. Register point clouds to align and build an accumulated point cloud map.

Import and visualize point clouds
Preprocess point clouds
Segment objects from lidar sensor data
Build a map from lidar sensor data




Day 2 of 2






Fusing Sensor Detections and Tracking



Objective: Create a multi-object tracker to fuse information from multiple sensors such as camera, radar and lidar.

Track multiple objects
Preprocess detections
Utilize Kalman filters
Manage multiple tracks
Track with multi-object tracker




Tracking Extended Objects



Objective: Create a probability hypothesis density tracker to track extended objects and estimate their spatial extent.

Define sensor configurations
Track extended objects
Estimate spatial extent




Generating Driving Scenarios and Modeling Sensors



Objective: Create driving scenarios and synthetic radar and camera sensor detections interactively to test automated driving perception algorithms.

Overview of the Driving Scenario Designer app
Create scenarios with roads, actors, and sensors
Simulate and visualize scenarios
Generate detections and export scenarios
Test algorithms with scenarios



"
