,links
0,https://open.sap.com/courses/byd1-c
1,https://open.sap.com/courses/rpac1-tr
2,https://open.sap.com/courses/caic1-tr
3,https://open.sap.com/courses/fgc2-tr
4,https://open.sap.com/courses/sfh2rc1-tr
5,https://open.sap.com/courses/rpa7
6,https://open.sap.com/courses/sps5
7,https://open.sap.com/courses/pbl1-1
8,https://open.sap.com/courses/bvis1-10
9,https://open.sap.com/courses/dmc1
10,https://open.sap.com/courses/red1-pc
11,https://open.sap.com/courses/sf11
12,https://open.sap.com/courses/pc1
13,https://open.sap.com/courses/s4h26-1
14,https://open.sap.com/courses/s4h25-1
15,https://open.sap.com/courses/suse3-1-pc
16,https://open.sap.com/courses/s4h24-1
17,https://open.sap.com/courses/concur1-1
18,https://open.sap.com/courses/s4h28
19,https://open.sap.com/courses/remote2
20,https://open.sap.com/courses/python1
21,https://open.sap.com/courses/sac5
22,https://open.sap.com/courses/hana8
23,https://open.sap.com/courses/gcts1
24,https://open.sap.com/courses/sustainablesoftware2022-hpi
25,https://open.sap.com/courses/fg3-1
26,https://open.sap.com/courses/suse2-1-pc
27,https://open.sap.com/courses/fg4
28,https://open.sap.com/courses/malware2022-hpi
29,https://open.sap.com/courses/recol1
30,https://open.sap.com/courses/fg2-2
31,https://open.sap.com/courses/sth2
32,https://open.sap.com/courses/fg1-3
33,https://open.sap.com/courses/identities2022-hpi
34,https://open.sap.com/courses/sf10
35,https://open.sap.com/courses/confidentialcommunication2022-hpi
36,https://open.sap.com/courses/sac4
37,https://open.sap.com/courses/btpma1
38,https://open.sap.com/courses/rpa6
39,https://open.sap.com/courses/ce1
40,https://open.sap.com/courses/suse3-pc
41,https://open.sap.com/courses/btp2
42,https://open.sap.com/courses/cai2
43,https://open.sap.com/courses/solman2-1
44,https://open.sap.com/courses/dt2
45,https://open.sap.com/courses/rise1
46,https://open.sap.com/courses/s4h27
47,https://open.sap.com/courses/byd9
48,https://open.sap.com/courses/abap1
49,https://open.sap.com/courses/calm3
50,https://open.sap.com/courses/coco1
51,https://open.sap.com/courses/egc1
52,https://open.sap.com/courses/cp10
53,https://open.sap.com/courses/btp1
54,https://open.sap.com/courses/ds3
55,https://open.sap.com/courses/s4h19-1
56,https://open.sap.com/courses/calm2
57,https://open.sap.com/courses/fiori-ea1
58,https://open.sap.com/courses/cx1-tl
59,https://open.sap.com/courses/ehs1
60,https://open.sap.com/courses/devops1
61,https://open.sap.com/courses/sparta2
62,https://open.sap.com/courses/sparta3
63,https://open.sap.com/courses/ai1-de
64,https://open.sap.com/courses/s4h22
65,https://open.sap.com/courses/ai1
66,https://open.sap.com/courses/red2-pc
67,https://open.sap.com/courses/hyper1
68,https://open.sap.com/courses/s4h20
69,https://open.sap.com/courses/cleanit2021-hpi
70,https://open.sap.com/courses/rpa5
71,https://open.sap.com/courses/int2
72,https://open.sap.com/courses/ea2
73,https://open.sap.com/courses/malware2021-hpi
74,https://open.sap.com/courses/dit2
75,https://open.sap.com/courses/clim1
76,https://open.sap.com/courses/iis1
77,https://open.sap.com/courses/identities2021-hpi
78,https://open.sap.com/courses/confidentialcommunication2021-hpi
79,https://open.sap.com/courses/s4h15-1
80,https://open.sap.com/courses/hanasql1
81,https://open.sap.com/courses/sf9
82,https://open.sap.com/courses/cai1
83,https://open.sap.com/courses/cp13
84,https://open.sap.com/courses/calli2
85,https://open.sap.com/courses/sfintro2
86,https://open.sap.com/courses/s4h21
87,https://open.sap.com/courses/s4h14-1
88,https://open.sap.com/courses/sapai1
89,https://open.sap.com/courses/ic1
90,https://open.sap.com/courses/sparta0
91,https://open.sap.com/courses/snap2
92,https://open.sap.com/courses/sac3
93,https://open.sap.com/courses/calm1
94,https://open.sap.com/courses/plm2
95,https://open.sap.com/courses/cp11
96,https://open.sap.com/courses/nw1-tl
97,https://open.sap.com/courses/sass1-sk
98,https://open.sap.com/courses/sparta1
99,https://open.sap.com/courses/fiori3
100,https://open.sap.com/courses/btpt1
101,https://open.sap.com/courses/calli1
102,https://open.sap.com/courses/snap1-1
103,https://open.sap.com/courses/snap1-1-fr
104,https://open.sap.com/courses/snap1-1-de
105,https://open.sap.com/courses/sfintro1
106,https://open.sap.com/courses/suse1-1-pc
107,https://open.sap.com/courses/s4h18
108,https://open.sap.com/courses/s4hintro1
109,https://open.sap.com/courses/cp7
110,https://open.sap.com/courses/ct1-2
111,https://open.sap.com/courses/s4h16
112,https://open.sap.com/courses/ea1-tl
113,https://open.sap.com/courses/rpa3
114,https://open.sap.com/courses/bizmooc1
115,https://open.sap.com/courses/di1
116,https://open.sap.com/courses/snap1-ttt
117,https://open.sap.com/courses/sf7
118,https://open.sap.com/courses/ds0
119,https://open.sap.com/courses/tcb1-tl
120,https://open.sap.com/courses/xm1
121,https://open.sap.com/courses/plm1
122,https://open.sap.com/courses/iftt1-pc
123,https://open.sap.com/courses/byd8
124,https://open.sap.com/courses/byd0
125,https://open.sap.com/courses/rpa1
126,https://open.sap.com/courses/mobile3
127,https://open.sap.com/courses/sac2
128,https://open.sap.com/courses/aie1-tl
129,https://open.sap.com/courses/byd7
130,https://open.sap.com/courses/ut1-2
131,https://open.sap.com/courses/ko1-tl
132,https://open.sap.com/courses/ui52
