,links
0,https://www.pluralsight.com/courses/ssrs-report-publishing-playbook
1,https://www.pluralsight.com/courses/lightning-component-framework-spa-getting-started
2,https://www.pluralsight.com/courses/lighting-illustration-blending-modes-photoshop-1846
3,https://www.pluralsight.com/courses/vmware-advanced-features-up-close
4,https://www.pluralsight.com/courses/vmware-vcloud-hybrid-service
5,https://www.pluralsight.com/courses/vmware-esx-server-pt3
6,https://www.pluralsight.com/courses/android-custom-components
7,https://www.pluralsight.com/courses/jquery-forms-bootstrap3
8,https://www.pluralsight.com/courses/photoshop-restoring-old-damaged-photos-2501
9,https://www.pluralsight.com/courses/photoshop-mastering-portrait-editing
10,https://www.pluralsight.com/courses/photoshop-actions-harness-power-2412
11,https://www.pluralsight.com/courses/photoshop-cc-hdr
12,https://www.pluralsight.com/courses/understanding-eliminating-technical-debt
13,https://www.pluralsight.com/courses/sqlserver-cpip
14,https://www.pluralsight.com/courses/creating-custom-controls-ios
15,https://www.pluralsight.com/courses/creative-perspective-techniques-artists-photoshop-1020
16,https://www.pluralsight.com/courses/useful-jquery-plugins
17,https://www.pluralsight.com/courses/that-conference-2019-session-10
18,https://www.pluralsight.com/courses/that-conference-2019-session-45
19,https://www.pluralsight.com/courses/that-conference-2019-session-05
20,https://www.pluralsight.com/courses/that-conference-2019-session-61
21,https://www.pluralsight.com/courses/that-conference-2019-session-06
22,https://www.pluralsight.com/courses/that-conference-2019-session-44
23,https://www.pluralsight.com/courses/that-conference-2019-session-14
24,https://www.pluralsight.com/courses/that-conference-2019-session-20
25,https://www.pluralsight.com/courses/that-conference-2019-session-28
26,https://www.pluralsight.com/courses/that-conference-2019-session-38
27,https://www.pluralsight.com/courses/that-conference-2019-session-65
28,https://www.pluralsight.com/courses/that-conference-2019-session-70
29,https://www.pluralsight.com/courses/that-conference-2019-session-39
30,https://www.pluralsight.com/courses/that-conference-2019-session-02
31,https://www.pluralsight.com/courses/that-conference-2019-session-26
32,https://www.pluralsight.com/courses/that-conference-2019-session-36
33,https://www.pluralsight.com/courses/that-conference-2019-session-53
34,https://www.pluralsight.com/courses/that-conference-2019-session-63
35,https://www.pluralsight.com/courses/that-conference-2019-session-07
36,https://www.pluralsight.com/courses/build-dynamic-web-sites-mysql-php
37,https://www.pluralsight.com/courses/building-spa-framework-angularjs
38,https://www.pluralsight.com/courses/build-isomorphic-app-react-flux-webpack-firebase
39,https://www.pluralsight.com/courses/developing-extensible-software
40,https://www.pluralsight.com/courses/rendering-tips-tricks-renderman-986
41,https://www.pluralsight.com/courses/rendering-tips-tricks-houdini-944
42,https://www.pluralsight.com/courses/rendering-tips-softimage-989
43,https://www.pluralsight.com/courses/illustrator-photoshop-creating-advertisement-2428
44,https://www.pluralsight.com/courses/illustrator-photoshop-rebranding-workflows-2546
45,https://www.pluralsight.com/courses/illustrator-getting-started-tablet-2510
46,https://www.pluralsight.com/courses/dynamic-tips-softimage-996
47,https://www.pluralsight.com/courses/droidcon-nyc-session-65
48,https://www.pluralsight.com/courses/droidcon-nyc-session-81
49,https://www.pluralsight.com/courses/droidcon-nyc-session-87
50,https://www.pluralsight.com/courses/droidcon-nyc-session-47
51,https://www.pluralsight.com/courses/droidcon-nyc-session-75
52,https://www.pluralsight.com/courses/droidcon-nyc-session-59
53,https://www.pluralsight.com/courses/scaling-java-applications-through-concurrency
54,https://www.pluralsight.com/courses/animation-tips-softimage-991
55,https://www.pluralsight.com/courses/body-mechanics-animation-maya-1948
56,https://www.pluralsight.com/courses/designing-vmware-infrastructure
57,https://www.pluralsight.com/courses/nativescript-cross-platform-native-mobile-apps
58,https://www.pluralsight.com/courses/turning-corporate-ladder-into-escalator
59,https://www.pluralsight.com/courses/hands-on-responsive-design-css-preprocessor
60,https://www.pluralsight.com/courses/meet-emacs
61,https://www.pluralsight.com/courses/meet-eventmachine
62,https://www.pluralsight.com/courses/sharepoint-conference-2019-session-34
63,https://www.pluralsight.com/courses/sharepoint-conference-2019-session-31
64,https://www.pluralsight.com/courses/urban-environment-maya-2783
65,https://www.pluralsight.com/courses/zbrush-2-maya-967
66,https://www.pluralsight.com/courses/iad-fundamentals
67,https://www.pluralsight.com/courses/tips-tricks-shave-haircut-987
68,https://www.pluralsight.com/courses/inventor-essentials-basic-drawings
69,https://www.pluralsight.com/courses/catia-v5-essentials-part-modeling
70,https://www.pluralsight.com/courses/haskell-fundamentals-part2
71,https://www.pluralsight.com/courses/swiftfest-boston-2019-session-24
72,https://www.pluralsight.com/courses/swift-in-depth
73,https://www.pluralsight.com/courses/swiftfest-boston-2019-session-17
74,https://www.pluralsight.com/courses/swiftfest-boston-2019-session-23
75,https://www.pluralsight.com/courses/swiftfest-boston-2019-session-28
76,https://www.pluralsight.com/courses/swiftfest-boston-2019-session-16
77,https://www.pluralsight.com/courses/angular-denver-2019-session-50
78,https://www.pluralsight.com/courses/angularjs-svg-scalable-dynamic-graphs-charts
79,https://www.pluralsight.com/courses/security-assessment-authorization-process-implementing
80,https://www.pluralsight.com/courses/security-risks-assessing-mitigating
