,links
0,https://www.pluralsight.com/courses/ssrs-report-publishing-playbook
1,https://www.pluralsight.com/courses/lightning-component-framework-spa-getting-started
2,https://www.pluralsight.com/courses/vmware-advanced-features-up-close
3,https://www.pluralsight.com/courses/vmware-vcloud-hybrid-service
4,https://www.pluralsight.com/courses/vmware-esx-server-pt3
5,https://www.pluralsight.com/courses/understanding-eliminating-technical-debt
6,https://www.pluralsight.com/courses/creative-perspective-techniques-artists-photoshop-1020
7,https://www.pluralsight.com/courses/that-conference-2019-session-10
8,https://www.pluralsight.com/courses/that-conference-2019-session-45
9,https://www.pluralsight.com/courses/that-conference-2019-session-05
10,https://www.pluralsight.com/courses/that-conference-2019-session-61
11,https://www.pluralsight.com/courses/that-conference-2019-session-06
12,https://www.pluralsight.com/courses/that-conference-2019-session-44
13,https://www.pluralsight.com/courses/that-conference-2019-session-14
14,https://www.pluralsight.com/courses/that-conference-2019-session-20
15,https://www.pluralsight.com/courses/that-conference-2019-session-28
16,https://www.pluralsight.com/courses/that-conference-2019-session-38
17,https://www.pluralsight.com/courses/that-conference-2019-session-65
18,https://www.pluralsight.com/courses/that-conference-2019-session-70
19,https://www.pluralsight.com/courses/that-conference-2019-session-39
20,https://www.pluralsight.com/courses/that-conference-2019-session-02
21,https://www.pluralsight.com/courses/that-conference-2019-session-26
22,https://www.pluralsight.com/courses/that-conference-2019-session-36
23,https://www.pluralsight.com/courses/that-conference-2019-session-53
24,https://www.pluralsight.com/courses/that-conference-2019-session-63
25,https://www.pluralsight.com/courses/that-conference-2019-session-07
26,https://www.pluralsight.com/courses/rendering-tips-tricks-renderman-986
27,https://www.pluralsight.com/courses/rendering-tips-tricks-houdini-944
28,https://www.pluralsight.com/courses/rendering-tips-softimage-989
29,https://www.pluralsight.com/courses/illustrator-photoshop-creating-advertisement-2428
30,https://www.pluralsight.com/courses/dynamic-tips-softimage-996
31,https://www.pluralsight.com/courses/droidcon-nyc-session-65
32,https://www.pluralsight.com/courses/droidcon-nyc-session-81
33,https://www.pluralsight.com/courses/droidcon-nyc-session-87
34,https://www.pluralsight.com/courses/droidcon-nyc-session-47
35,https://www.pluralsight.com/courses/droidcon-nyc-session-75
36,https://www.pluralsight.com/courses/droidcon-nyc-session-59
37,https://www.pluralsight.com/courses/animation-tips-softimage-991
38,https://www.pluralsight.com/courses/body-mechanics-animation-maya-1948
39,https://www.pluralsight.com/courses/designing-vmware-infrastructure
40,https://www.pluralsight.com/courses/turning-corporate-ladder-into-escalator
41,https://www.pluralsight.com/courses/hands-on-responsive-design-css-preprocessor
42,https://www.pluralsight.com/courses/meet-emacs
43,https://www.pluralsight.com/courses/meet-eventmachine
44,https://www.pluralsight.com/courses/sharepoint-conference-2019-session-34
45,https://www.pluralsight.com/courses/sharepoint-conference-2019-session-31
46,https://www.pluralsight.com/courses/urban-environment-maya-2783
47,https://www.pluralsight.com/courses/zbrush-2-maya-967
48,https://www.pluralsight.com/courses/iad-fundamentals
49,https://www.pluralsight.com/courses/tips-tricks-shave-haircut-987
50,https://www.pluralsight.com/courses/catia-v5-essentials-part-modeling
51,https://www.pluralsight.com/courses/swiftfest-boston-2019-session-24
52,https://www.pluralsight.com/courses/swift-in-depth
53,https://www.pluralsight.com/courses/swiftfest-boston-2019-session-17
54,https://www.pluralsight.com/courses/swiftfest-boston-2019-session-23
55,https://www.pluralsight.com/courses/swiftfest-boston-2019-session-28
56,https://www.pluralsight.com/courses/swiftfest-boston-2019-session-16
57,https://www.pluralsight.com/courses/angular-denver-2019-session-50
58,https://www.pluralsight.com/courses/nurbs-modeling-tips-softimage-993
59,https://www.pluralsight.com/courses/texturing-zbrush-3385
60,https://www.pluralsight.com/courses/monetizing-gamesalad-in-app-purchase
61,https://www.pluralsight.com/courses/non-linear-animation-maya-trax-1386
62,https://www.pluralsight.com/courses/using-syflex-maya-1352
63,https://www.pluralsight.com/courses/cartoon-vehicles-maya-3403
64,https://www.pluralsight.com/courses/next-gen-game-techniques-xsi-1761
65,https://www.pluralsight.com/courses/rigging-tips-softimage-988
66,https://www.pluralsight.com/courses/introduction-softimage-2012-569
67,https://www.pluralsight.com/courses/intro-renderman-1-for-maya-7-1027
68,https://www.pluralsight.com/courses/introduction-flash-8-527
69,https://www.pluralsight.com/courses/intro-maya-ncloth-3413
70,https://www.pluralsight.com/courses/intro-lighting-maya-2008-3395
71,https://www.pluralsight.com/courses/intro-maya-paint-effects-358
72,https://www.pluralsight.com/courses/intro-realflow-4-2132
73,https://www.pluralsight.com/courses/intro-maya-2nd-edition-418
74,https://www.pluralsight.com/courses/exchange-server-2000
75,https://www.pluralsight.com/courses/microsoft-server-virtualization-adv-admin
76,https://www.pluralsight.com/courses/microsoft-sway-first-look
77,https://www.pluralsight.com/courses/digital-humans-4-shading-rendering-3389
78,https://www.pluralsight.com/courses/comptia-a-plus-peripherals
79,https://www.pluralsight.com/courses/compositing-tips-composite-937
80,https://www.pluralsight.com/courses/comptia-a-plus-networking
81,https://www.pluralsight.com/courses/fusion-360-essentials-editing-errors-design-changes
