,title,teacher,level,about_course,lessons,You'll learn,You'll build,Prerequisites,about_teacher,Why this course rocks
0,Learn Imba,Nathan Manousos,Course level: Intermediate,Imba is a compile-to-JavaScript programming language that lets you build blazingly fast web apps. It powers both the frontend and backend of the Scrimba.com platform.,"{'Learn Imba': ['1. Intro', '2. Intro to Imba Syntax', '3. Conditionals', '4. Loops', '5. Functions', '6. Anonymous Functions', '7. Imports', '8. Classes', '9. Tags', '10. Defining Custom Tags', '11. Loops Inside Tags', '12. Conditionals inside Tags', '13. Inline Styles', '14. Style Property Shorthands', '15. Scoped Styles', '16. Imba-Defined CSS Properties', '17. Imba-Defined CSS Values', '18. CSS Modifiers', '19. Bonus Imba Styling Features', '20. Binding', '21. Binding Custom Tags', '22. Event Handling', '23. Emitting Custom Events', '24. Local vs Global Components', '25. Organizing The Project', '26. Container Tag', '27. Habit Adder Tag', '28. Event Modifiers', '29. Sending Data with Events', '30. Adding SVG Icons', '31. Making an Animated Drawer', '32. Add the Icon Chooser', '33. Cosmetic Improvements', '34. Move Delete to Dopamine Box', '35. Move Toggle to Dopamine Box', '36. LocalStorage', '37. Manage Empty State', '38. Lifecycle Methods', '39. Celebration Sound Effect', '40. Reset habits and use imba.commit()', '41. Wrap Up']}","['Basic Imba Syntax', 'Integrating Imba with existing code', 'Conditionals', 'Loops', 'Functions', 'Imports', 'Classes', 'Custom tags', 'Inline styles', 'Imba’s powerful styling capabilities', 'Style shorthands', 'Scoped styles', 'Event handling', 'Data binding', 'Emitting custom events', 'Adding icons', 'Managing state', 'Lifecycle methods', 'Imba and LocalStorage', 'How to structure an Imba project']",['Dopamine Box'],"['Before taking this course, you should have a basic understanding of JavaScript. Here’s our suggested resource to get you up to speed.']",I’m a software designer based in California who co-founded and designed Flinto - a widely used Mac app for creating high-fidelity prototypes. ,"['In this course you’ll learn Imba, the programming langauge used to build scrimba.com.', 'Imba is a compile-to-JavaScript language that includes powerful features for building web apps like built-in tags and styles. ', 'You’ll learn the basics of Imba syntax, and build a Dopamina Box app. By the end, you’ll have enough knowledge to build your own web app UI with Imba. ', 'This course is intended for people who already know a bit of Javascript.']"
1,Learn CSS animations,Jad Khalili,Course level: Intermediate,Learn how to make your websites come alive with CSS animations. This course gives you a solid foundation with real-world coding challenges.,"{'Learn CSS animations': ['1. Welcome to the course!', '2. Project Navigation', '3. Frontend Career Path', '4. What are Transitions?', '5. Adding Transitions', '6. Customizing Transitions', '7. Transition Shorthand', '8. Transition Challenge', '9. Real-World Transitions Challenge: Menu', '10. Animations in Action', '11. Defining Animations', '12. Animations: Timing', '13. Animations: Other Properties', '14. Animation Shorthand', '15. Animation Challenge', '16. Real-World Animations Challenge: Landing Page', '17. Introduction to Transforms & Scaling', '18. Translation', '19. Rotation', '20. Skew', '21. Transform Challenge', '22. Real-World Transforms Challenge: Logo', '23. Prefixes', '24. CSS Variables', '25. Custom Timing Functions', '26. Congratulations  on Completing Learn CSS Animations 🤩']}","['Adding transitions', 'Customising transitions', 'Defining animations', 'Timing animations', 'Transforms & Scaling', 'Translation', 'Rotation', 'Skew', 'Prefixes', 'CSS variables', 'Timing functions']",[],"['Before taking this course, you should have a basic understanding of HTML and CSS. Here’s our suggested resource to get you up to speed.']","Hi, my name is Jad Khalili, and I have been an online instructor for over 3 years, in which I've taught over 60,000 students from around the world. I especially enjoy teaching HTML, CSS, and design.","[""Do you want to learn how CSS animations work, and know how to apply them to real-world scenarios? Good news, you've found the perfect course! "", ""In just two hours, you will gain a fundamental understanding of the CSS properties that are used to create animations. You'll learn how to make user-friendly animations and how to apply them across browsers. "", 'Along the course, there will be challenges with real-world examples that developers encounter in their daily lives, where you will be able to test and review what you learn. ', 'Join the Scrimba community chat', 'Learning alone can be lonely. Click ', 'here', ' to join our Discord server and connect with other Scrimba learners!']"
2,Learn Alpine JS,Andre Madarang,Course level: Intermediate,Alpine.js offers the reactive and declarative nature of big frameworks like Vue or React at a much lower cost. This interactive course will teach you the basics in less than an hour.,"{'Learn Alpine JS': ['1. Introduction', '2. Installation & A Basic Alpine Component', '3. Frontend Career Path', '4. Dropdown', '5. Modals and x-ref', '6. Sidebar', '7. Tabs', '8. Image Selection', '9. Scroll Detection', '10. Accordion Toggle and loops', '11. fetch and x-init', '12. Todo App and x-model', '13. Transitions: Dropdown', '14. Transitions: Modal', '15. Transitions: Sidebar', '16. Easier Transitions', '17. Conclusion', '18. Congratulations on completing Learn Alpine JS! 🗻']}",[],[],"['Before taking this course, you should have a basic understanding of HTML, CSS, and JavaScript. Here’s our suggested resources to get you up to speed.']","Greetings! I’m Andre. I spend my days designing and developing web applications, and teaching about it. I specialize in the Laravel PHP framework on the backend, Vue.js on the frontend and Tailwind CSS for styling. ","['Are you looking for a quick way to add interactivity to a website without having to introduce a full-blown framework like Vue or React? Look no further! ', 'Alpine.js offers you the reactive and declarative nature of big frameworks at a much lower cost. You get to keep your DOM and sprinkle in behavior as you see fit. Think of it like Tailwind for JavaScript!', 'This course will give you a quick introduction to Alpine.js via interactive coding challenges. The teacher is the eminent Andre Madarang, a full-stack web developer, and popular YouTube instructor.', 'Join the Scrimba community chat', 'Learning alone can be lonely. ', 'Click here', ' to join our Discord server and connect with other Scrimba learners!']"
3,Build Tic Tac Toe with React Hooks,Thomas Weibenfalk,Course level: Intermediate,This quick course will teach you to build the classic Tic Tac Toe game using modern React and React Hooks.,"{'Build Tic Tac Toe with React Hooks': ['1. Introduction', '2. Scaffolding Components', '3. Frontend Developer Career Path Promo', '4. Frontend Career Path', '5. Square Component & destructuring props', '6. Board Component and scaffolding functions', '7. Square Styling', '8. Board Styling', '9. calculateWinner function explained', '10. Create states and fill with initial data', '11. Create the handleClick function', '12. renderMoves function and the last JSX', '13. BONUS: Implement Time Travel', '14. Congratulations on completing Build Tic Tac Toe with React Hooks \U0001fa9d']}",[],[],"['Before taking this course, you should have a basic understanding of HTML, CSS, JavaScript, and React. Here’s our suggested resources to get you up to speed.']","Thomas is a multitalented digital native from Sweden. He has been developing webpages and web applications ever since Internet first became a phenomenon. 
","[""In this course, we're going to have some fun building a Tic Tac Toe game with modern React. The example is pulled from React's official tutorials, but instead of doing the old way, we'll use React Hooks."", 'Knowing React Hooks is a critical skill for any React developer who aims to work with modern codebases, and this course will teach it to in a fun way and quick way!', ""The course assumes you know basic React beforehand. If you've gone through our "", 'Learn React For Free', "" course, you'll be well equipped to tackle this one.""]"
4,Build a movie search app in React,James Q Quick,Course level: Intermediate,Learn React in one hour by building a movie search app. Solve interactive coding challenges to ensure that the knowledge sticks with you.,"{'Build a movie search app in React': ['1. Course Introduction', '2. How To Get Your Movie DB API Key', '3. Frontend Developer Career Path Promo', '4. Add Base Styles to Our App', '5. Create Your First Component', '6. Style the Search Movies Component', '7. Create the Search Movies Function', '8. Manage State with React useState Hook', '9. Display Movie Information', '10. Style the Movie Cards', '11. Create the Movie Card Component (Challenge)', '12. Wrap Up', '13. Congratulations on completing Build a movie search app in React! ']}",[],[],"[""Before taking this course, you should have a basic understanding of HTML, CSS, and JavaScript. It's also a benefit to have seen a little bit of React code before, but it's not a must-have. Check out the courses below if you don't feel ready for this course yet.""]","Web Developer, Speaker, and Teacher. ","['This course teaches you React by building a movie search app. It offers a quick and interactive primer on the worlds most popular front-end framework. ', ""Throughout the 11 lessons, you'll solve several interactive coding challenges to ensure that the knowledge actually sticks with you. "", 'The course focues on modern React, using concepts like functional components and hooks to build the movie search app.', 'If you feel find this course to be a bit over your level, you should also check out our ', 'Learn React For Free', ' course.\u2028']"
5,Learn Svelte,Noah Kaufman,Course level: Beginner,"This tutorial will teach you Svelte in less than an hour. You'll learn it by building a fun chat bot, and by solving interactive coding challenges along the way.","{'Learn Svelte': ['1. Welcome to the course!', '2. Components ', '3. Frontend Career Path', '4. Importing and exporting', '5. Challenge', '6. Slots', '7. Templating', '8. Making the header', '9. Event handling', '10. Event dispatching ', '11. Buttons', '12. Reactivity', '13. Reactive challenge', '14. A bit more reactivity', '15. Binding ', '16. Final project ', '17. Outro', '18. Congratulations on Completing Learn Svelte ✨']}","['Components', 'Props', 'Loops', 'Conditionals', 'Templating syntax', 'Event dispatching', 'Event handling', 'Two-way binding', 'Reactivity', 'Import/Export', 'Slots']",['The Svelte chat bot'],[],"Hi, I'm Noah! I'm a Senior Frontend Developer from San Francisco, California with an M.S in Computational Linguistics. I'm also known as Svelte Master on YouTube, where I create tutorials on, you guessed it, Svelte.","['Svelte is a Javascript framework, a compiler and a language. Unlike other Frameworks such as React and Vue which do much of their work in the browser, Svelte does its work in the compile step, which results in highly efficient code and a potentially faster run-time on the client-side.', ""\u2028\u2028In this course, Noah Kaufman will teach you Svelte by building a fun chatbot. The course contains several interactive coding challenges, where you'll be encouraged to write your first lines of Svelte code. This will solidify your learning, so we strongly encourage you to do these challenges along the way."", 'The teacher, Noah, is also known as Svelte Master on YouTube, where he creates tutorials on his favourite JavaScript framework. Other than that, he is a Senior Frontend Developer from San Francisco, California with an M.S in Computational Linguistics.']"
6,Learn UI Design,Gary Simon,Course level: Intermediate,"This massive UI design course teaches you to build beautiful and well-functioning user interfaces using HTML and CSS. It's filled with interactive tutorials to ensure that the knowledge sticks with you. Created by Gary Simon, the most popular online instructor on this subject.","{'Course Introduction': [""1. Who I am, What we'll Learn & Prerequisites"", '2. Subjectivity vs. Objectivity', '3. Tools to Use', '4. Using Scrimba & Sharing your Work'], 'UI Design Fundamentals': ['1. Introduction', '2. White Space', '3. Alignment', '4. Frontend Career Path', '5. Design Challenge: 1', '6. Contrast', '7. Scale', '8. Design Challenge: 2', '9. Typography', '10. Color', '11. Design Challenge: 3', '12. Visual Hierarchy', '13. Design Challenge: 4', '14. The Final Challenge', '15. Wrapping Up'], 'Building A Simple Layout': ['1. Building a simple layout - intro', '2. Keeping it Ultra Simple', '3. Making our Layout Dark', '4. Challenge 1', '5. Multi-Columns', '6. Working with Photographs', '7. Final Chapter Lesson'], 'Responsive Design': ['1. Chapter Introduction (04)', '2. Defining the HTML', '3. Mobile First CSS (Part 1)', '4. Mobile First CSS (Part 2)', '5. Mobile First CSS (Part 3)', '6. Responsive Design (Part 1)', '7. Responsive Design Challenge 1', '8. Finishing Up', '9. Final Chapter Challenge'], 'Responsive Navigations': ['1. Introduction to responsive navigations', '2. Writing the HTML (real)', '3. Mobile CSS (Part 1)', '4. Mobile CSS (Part 2)', '5. Responsive CSS (Challenge 1)', '6. Making the Mobile Menu Work', '7. Animating the Mobile Menu', '8. Sub Menu Design Challenge'], 'Full Project Refactoring': ['1. Project Refactoring: Introduction & Defining the HTML', '2. Fixing the Color & Contrast', '3. Fixing the Type & Visual Hierarchy', '4. Fixing White Space', '5. Initial Media Queries', '6. Tablet Media Queries', '7. Desktop Media Query'], 'Tea UI Design Project': ['1. The TeaPlace landing page challenge', '2. Defining the HTML', '3. Challenge 1: Mobile UI Design', '4. Challenge 1: My Solution (Mobile Header & Navigation)', '5. Challenge 1: My Solution (Completing the Mobile Design)', '6. Challenge 2: Tablet Challenge', '7. Challenge 2: My Solution', '8. Challenge 3: Desktop Design', '9. Challenge 3: My Solution'], 'Shadows': ['1. Shadows 101', '2. Drop Shadow Playground Setup', '3. Challenge 1: Hard & Soft Drop Shadows', '4. Challenge 2: Using Shadows to Define Containers', '5. Challenge 3: Colored Shadows', '6. Quick Tip: Multi-Layered Shadows'], 'Gradients': ['1. Introduction', '2. Challenge 1: Basic Gradient', '3. Challenge 2: Button Gradient', '4. Challenge 3 Setup HTML & CSS', '5. Challenge 3: Card Gradients', '6. Challenge 4: Card Gradients (Light Variation)'], 'Forms': ['1. Forms 101', '2. HTML Form Setup', '3. CSS Form Setup (Progress Design)', '4. Challenge 1: Form Design CSS', '5. Challenge 2: Responsive Form Design', '6. Challenge 3: Radio Buttons', '7. Challenge 4: Checkboxes'], 'UI Animation': ['1. Introduction', '2. Defining the HTML', '3. Defining the Initial CSS for Mobile', '4. Challenge 1: Responsive Design', '5. Challenge 2: A Simple Hover'], 'Final Project': ['1. Project Introduction', '2. Defining the HTML', '3. Defining the HTML (Part 2)', '4. Defining the Navigation CSS', '5. Defining the Hero Section CSS (Part 1)', '6. Defining the Hero Section CSS (Part 2)', '7. Defining the Features Section', '8. Finishing the Mobile CSS', '9. Challenge: Small Tablet Responsive Design', '10. Challenge: Desktop Responsive Design', '11. Challenge: Testimonials on Desktop', '12. Defining the Sub Page HTML', '13. Challenge: Style the Sub Page', '14. Challenge: Animating the UI', '15. Bonus: Pattern Libraries, Style Guides & Design Systems 101']}","['UI design fundamentals', 'Build UIs from scratch', 'Refactor UIs', 'Responsiveness', 'Navigations', 'Forms', 'Shadow', 'Gradients', 'UI Animation', 'Colors', 'Contrast', 'White space', 'Typography', 'Alignment', 'Visual hierarchy', 'Scale']","['Forest Vacation page', 'The Ultimate Tea webshop', 'Signup flow form']","[""Before taking this course, you should have a good grasp of HTML and CSS, as Gary will be teaching UI design concepts using these technologies.If you're not there yet, try this course:""]","Gary is one of YouTube's most popular coding teachers, with over 500.000 followers. He has created close to 100 courses, with topics raging from graphic design to advanced frontend development. ","[""While we can all clearly recognize what a great user interface looks like, it's actually really hard to build one!    And that's exactly what this bootcamp is all about. In it, Gary Simon will turn you into a UI design master. He'll teach you UI design from the ground up, and give you the skills you need in order to make sure that your next project both looks good  and feels good to use.\u2028 \u2028It starts from the very basics, so you don't need any UI design experience to join, just basic HTML and CSS skills.\u2028 "", '\u2028 ', 'A world-class teacher', '\u2028', ""Gary is the most popular design and coding teacher on YouTube, with over 500,000 people following his channel DesignCourse. \u2028 \u2028He has over 20 years of experience as a UI/UX designer and a frontend developer, so you can rest assured that you'll be in good hands.  \u2028This course is also a social experience. Gary will constantly encourage you to share the UI designs you create in Scrimba's "", 'Discord channel', "". \u2028 \u2028We've created a dedicated channel for the course, so that you can get feedback from other students, and provide your own feedback as well.   Building great UIs is a skill that any front-end developer will benefit from. Whether you're in a team, working as a consultant, or just want to build your own projects, everyone needs good user interfaces. So what are you waiting for? \u2028 \u2028Join the course today, and start your journey as a UI designer!""]"
7,Learn Tailwind CSS,Victor Gonzalez,Course level: Intermediate,"Tailwind CSS is a utility-first framework for
rapidly building custom designs. This tutorial will teach your Tailwind from scratch, using a mix of lectures and interactive coding challenges.","{'Learn Tailwind CSS': ['1. Welcome to the Tailwind CSS course', '2. Background Classes & Shades', '3. Frontend Career Path', ""4. Element Sizing & Tailwind's Numbering System"", '5. Shades of Blue Challenge', '6. Padding & Margins', '7. Styling Text Part 1', '8. Styling Text Part 2', '9. Text Styling', '10. Borders', '11. The Buttons Challenge', '12. Display Modes', '13. Flexbox', '14. Block Gallery Challenge', '15. Responsive Design', '16. Hover Modifier', '17. Focus Modifier', '18. Combination Modifier', '19. Other Utilities', '20. Input Component Challenge', '21. Employee Card Challenge', '22. Final Course Project - Landing Page', ""23. It's A Wrap!"", '24. Congratulations on Completing Learn Tailwind CSS for Free 😃']}",[],"['Course landing page', 'Employee card']","['Before taking this course, you should have a basic understanding of HTML and CSS. Here’s our suggested resource to get you up to speed.']",Victor is a Senior Web Developer with over 10 years of professional experience building web applications. He has taught software development to hundreds of thousands of people via his popular YouTube channel Coders Tape.,"['During this course we will be exploring the features of Tailwind CSS. As a quick recap, Tailwind is a utility-first framework designed to speed up the design process by completely removing the need for custom CSS. In the past, every HTML element would get a single class and that class would contain a lot of custom CSS in a separate CSS file. Though this is still the general practice, this practice leads to huge CSS files, reduces the ease of maintaining CSS and yields overall poorer developer experience. ', 'Another advantage of a utility framework is its superior performance with caching due to not busting the cache for small CSS changes. Tailwind has been designed with incredible sensible defaults to make your designs look and feel ""polished"" and ""designed"" through the careful use of color palettes, color shades, sizing consistency and modern web best-practices. It\'s also worth noting, that Tailwind is mobile-first and has an easy naming convention with responsive designs built-in.', ""Need some customizations? Tailwind's robust customization system will allow you to customize/tweak/modify everything in the framework through the use of the "", 'tailwind.config.js', ' file. The customizations of Tailwind are beyond the scope of this course but rest assured that the default Tailwind classes are almost always exactly what you will need.', 'Join the Scrimba community chat', 'Learning alone can be lonely. ', 'Click here', ' to join our Discord server and connect with other Scrimba learners!']"
8,Learn CSS variables for free,Per Harald Borgen,Course level: Intermediate,"This tutorial teaches you CSS variables through eight interactive screencasts. It's value-packed from beginning to end, and is probably the fastest way to get an in-depth understanding of CSS Variables.","{'Learn CSS variables for free': ['1. Why learn CSS Variables - Intro tutorial', '2. Your first variable - CSS Variables tutorial', '3. Frontend Career Path', '4. Overriding variables - CSS Variables tutorial', '5. Local variables - CSS Variables tutorial', '6. Theming - CSS Variables tutorial', '7. Changing variables with JavaScript - CSS Variables tutorial', '8. Responsiveness and variables - CSS Variables tutorial', '9. Two inheritance examples - CSS Variables tutorial', '10. Congratulations on Completing Learn CSS Variables for Free 🎇']}","['Fundamentals of CSS Variables', 'Local variables and overriding', 'Creating themes with variables', 'Changing variables with JavaScript', 'Responsiveness with CSS Variables']",[],"['Before taking this course, you should have a basic understanding of HTML and CSS. Here’s our suggested resource to get you up to speed.']","Front-end developer and co-founder of Scrimba. Per loves helping other people learn new skills so that they can improve their lives. He makes his tutorials as simple as humanly possible, and focus on getting the students to the point where they can start building projects on their own.","['CSS Custom Properties (aka Variables) is a big win for front-end developers. It brings the power of variables to CSS, which results in less repetition, better readability and more flexibility.\xa0\nPlus, unlike variables from CSS preprocessors, CSS Variables are actually a part of the DOM, which has a lot of benefits.', ""The course contains eight interactive screencasts. All are short and to the point. At the end of most of them, the instructor asks you to solve a challenge, directly in the screencast window. \nThis is a great way of making sure the knowledge sticks, and you'll get to check if your solution matches the instructors."", 'You can follow the course creator Per Harald Borgen on Twitter ', 'here.', 'Join the Scrimba community chat', 'Learning alone can be lonely. ', 'Click here', ' to join our Discord server and connect with other Scrimba learners!']"
9,Build and deploy your portfolio,Kevin Powell,Course level: Intermediate,This course will teach you to build and deploy a neat portfolio for yourself. Perfect to showcase your skills and experience to potential employers. You also get $100 in free credits from DigitalOcean!,"{'Build and deploy your portfolio': ['1. Introduction', '2. Setting things up - HTML', '3. Frontend Career Path', '4. The header area - HTML', '5. Intro section', '6. About me, Work and Footer - HTML', '7. Setting up the custom properties and general styles', '8. Styling the titles and subtitles', '9. Setting up the intro section', '10. Styling the services section', '11. The About me section', '12. The portfolio', '13. Adding the social icons with Font Awesome', '14. Styling the footer', '15. Setting up the navigation styles', '16. Creating the hamburger', '17. Adding the JS', '18. Creating the portfolio item page', '19. Customizing your page', '20. DigitalOcean Droplets - What they are and how to set one up', '21. DigitalOcean Droplets - Uploading files via FTP', '22. Congratulations Build and Deploy Your Portfolio 🎇']}",[],[],"['Before taking this course, you should have a basic understanding of HTML and CSS. Here’s our suggested resource to get you up to speed.']","Hi, I'm Kevin. I love to teach people how to make the web and how to make it look good while they're at it. Over 300.000 people follow my tutorials on YouTube.

I learned to make websites on my own. I know how fun and rewarding it is, but I also know that it can be incredibly frustrating. I'm here to help make your journey into web development as easy and as fun as possible. ","[""As developers and designers, we need to ways to showcase our skills to potential employers. There's no better way of doing this than a dedicated portfolio page. It gives you full control of how you'd like to present yourself."", ""In this course, the brilliant teacher Kevin Powell will take you through every single step of building a neat-looking portfolio website. You'll also learn to customize it to suit your personal style. Towards the end of the course, Kevin shows you how to deplopy the site to DigitalOcean, so that you will end up with a live website upon completing the course!"", 'The site is built without using any web frameworks, so the only prerequesites for this course are basic HTML and CSS skills.', 'Get $100 free credits from DigitalOcean', ""As a part of the course, you'll get $100 in free credits from DigitalOcean (new accounts only) so that you won't need to pay to get your site off the ground. The credits are valid for 60 days, so you'll have plenty of time to deploy and experiment with your live site without having to pay."", 'Enroll now to get your $100 free credits!', 'This course is also a part of our hugely popular ', 'Front-End Devloper Career Path', '.']"
