,title,about,lessons,lessons_text,hours,hours_text,price,price_text,Lesson structure,Who is this course for,About the author,What to do after the course
0,Semrush SEO Toolkit Course,"Make the most of Semrush's SEO Toolkit by taking our course. Provided by a team of Semrush professionals, you'll delve into all the best and need-to-know features of the toolkit to help you drive better results.",14 lessons,Exclusive video lessons prepared by a team of Semrush professionals,3 hours,Become a proficient Semrush SEO user in just 3 hours,100% free,The course is 100% free. Save your money for future SEO endeavours,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Expert’s tips': 'Learn from the experience of SEO professionals', 'Read further': 'Study the specially picked materials to dive deeper into the topic'}","If you want to learn how to boost your SEO with Semrush tools, take this course to get tips from practicing SEO experts in a series of free video lessons.",,"['Get certified by Semrush', 'After completing the course, you will have the necessary knowledge to take and pass the Semrush Certification Exam for SEOs.', 'If you are already a confident Semrush user, you can bypass the educational part and test your understanding right away by taking the exam. Upon passing it, you will earn a certificate, proof that you have successfully completed the course.', 'Learn more']"
1,Audit Your Online Visibility with Semrush,"Learn how to benchmark your site in the 3 main areas of SEO; Keywords, site health and backlink authority with CSM Kelsey Gettis",4 lessons,Exclusive video lessons with Semrush's CSM Kelsey Gettis,1 hour,Learn the methods we teach our enterprise clients on how to get started with Semrush, 100% free,The course is 100% free. Use your free Semrush account to access all the lessons! ,"{'Video lessons': 'Watch easy-to-follow video lessons.', ' Read further': 'Study the handpicked materials to dive deeper.', 'Quiz': ""Test what you've learned.""}",This course is ideal to anyone using Semrush for the first time. Learn the methods we teach our Enterprise Clients.,"The course was prepared by a team of skilled Semrush professionals. To provide you with the most relevant and up-to-date knowledge on Semrush tools, we designed it together with the Customer Success Team who know Semrush tools better than anyone in the world!","['Get certified by Semrush', 'After you will have learned everything we teach our Enterprise clients when they first start using Semrush', ""Once you pass, you'll earn a certificate to showcase your expertise in this area. Feel free to share your expertise on your CV and LinkedIn profile."", 'Learn more']"
2,Content Marketing and SEO Fundamentals with Eric Enge,Learn about SEO and content marketing that will drive your SEO campaign with digital marketing and SEO expert Eric Enge.,8 lessons,Exclusive video lessons with industry-leading SEO consultant Eric Enge,1 hour,Learn how to implement an SEO-effective content marketing strategy in just 1 hour,100% free,The course is 100% free.,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Expert’s tips': 'Learn from the experience of SEO professionals', 'Read further': 'Study the specially picked materials to dive deeper into the topic'}","This course is primarily aimed at digital marketers, individuals with responsibility for their content marketing strategy, as well as anyone who is looking to enhance their knowledge and understanding of content marketing and how to create quality content that will deliver results as part of a wider SEO campaign.","Eric Enge is an SEO consultant, entrepreneur, and public speaker who participates in dozens of conferences every year. A CEO of Stone Temple Consulting and author of “The Art of SEO”, Eric is a prolific contributor to Forbes, Search Engine Land, Marketing Land, Search Engine Watch and other top industry media.","['Get certified by Semrush', ""After you've completed the course, you can take the Content Marketing and SEO Fundamentals exam and earn a personalized certificate."", ""If you feel that you have enough experience and knowledge about content marketing (for example, because you're a digital marketer), you can jump straight to taking the exam. Once you pass, you'll earn a certificate to showcase your expertise in this area. Feel free to share your expertise on your CV and LinkedIn profile."", 'Learn more']"
3,Competitive Analysis and Keyword Research Course,"This course will teach you how to carry out competitive analysis and perform keyword research, crucial steps in your SEO, with the help of Semrush tools. After completing the course, you will have sufficient knowledge to take and pass the accompanying test and carry on studying the Semrush SEO toolkit.",7 lessons,Exclusive video lessons with passionate digital marketer Ashley Ward,1 hour,Learn how to carry out competitive analysis and conduct keyword research with Semrush tools,100% free,The course is 100% free. Save your money for your future marketing activities,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","If you want to learn how to carry out competitive analysis and keyword research, saving time and effort with Semrush suite, then this is the best course for you. You’ll be guided through all the necessary tools in a series of free video lessons.","This course was prepared by a team of skilled Semrush professionals. To provide you with the most relevant and up-to-date knowledge, we designed it together with the creators of Semrush, who know it better than anyone in the world!","['Get certified by Semrush', 'Try to pass the Competitive Analysis and Keyword Research Course test and earn your personalized certificate.', 'If you already have sufficient knowledge of the tools, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you’ll earn a certificate, proof of your Semrush mastery.', 'Learn more']"
4,Mastering Digital PR with Brian Dean,"Grow your business with press coverage. Learn exactly how with this proven, repeatable, and step-by-step system.",17 lessons,Exclusive video lessons from recognized SEO expert Brian Dean.,3 hours,Learn how to get press fast for your small business in every niche in just 3 hours., 100% free,The course is 100% free. Use your free Semrush account to access all of the lessons!,"{'Video lessons': 'Watch easy-to-follow video lessons.', ' Read further': 'Put your knowledge in practice with our worksheets and additional materials.', 'Quiz': ""Test what you've learned.""}","The course is designed for businesses seeking to grow with PR, in any industry.

Content includes all of the advanced strategies Brian Dean used to get press coverage on major media outlets including Forbes, Inc, Fast Company, TechCrunch, and Vox, and scale up PR efforts from 1-2 campaigns per year to 1-2 campaigns per month.

Inside the course you'll find: video tutorials, worksheets, practical PR tips.","Brian Dean is an SEO expert and founder of Backlinko, one of the most popular digital marketing resources online (5M+ readers). His work has been featured in Inc., Fast Company, Entrepreneur, U.S. News & World Report, Success Magazine, Vox, Forbes, Fox News, The Next Web, HuffPost, TechCrunch, and dozens more major media outlets.","['Get certified by Semrush', 'Seize the opportunity to pass the Mastering Digital PR exam and earn your personal certificate.', ""If you already have sufficient knowledge of the Brian's approach to Mastering Digital PR, you can bypass the educational part and test your skills right away by taking the exam. Upon passing, you'll earn a certificate, which is proof of your mastery."", 'Learn more']"
5,Growing Your SEO Agency with Semrush with Greg Gifford,"Learn how to find and win SEO clients, manage campaigns, and create meaningful reports with industry expert Greg Gifford.",7 lessons,Exclusive video lessons with industry-leading SEO expert Greg Gifford,1 hour,Learn how to find new SEO leads for your agency in just 1 hour, 100% free,The course is 100% free. Use your free Semrush account to access all the lessons!,"{'Video lessons': 'Watch easy-to-follow video lessons.', ' Read further': 'Study the handpicked materials to dive deeper.', 'Quiz': ""Test what you've learned.""}","This course is ideal for digital marketing agency owners who want to learn how to leverage Semrush to find more SEO leads, win them over, manage SEO campaigns and ultimately scale their SEO department.
","Greg Gifford is an experienced SEO consultant specializing in Local SEO. He is the Vice President of Search at SearchLab, a local SEO and PPC agency located in Chicago, IL. With over 17 years of experience, Greg has been an honored guest and speaker at top SEO conferences around the globe. He graduated from Southern Methodist University with a BA in Cinema and Communications, and has an obscure movie quote for just about any situation.","['Get certified by Semrush', 'After you’ve completed the course, you can take the Growing Your SEO Agency exam and earn a personalized certificate.', 'Once you pass, you’ll earn a certificate to showcase your expertise in this area. Feel free to share your expertise on your CV and LinkedIn profile.', 'Learn more']"
6,Digital Marketing for SMBs with Greg Gifford,Learn the basics of digital marketing for SMBs with Greg Gifford - a high-level view of digital marketing to help newbies understand how things work.,10 lessons,"Exclusive video lessons with everyone's favourite expert, Greg Gifford",1 hour,Learn the basics of digital marketing for SMBs to bring traffic to your site and grow your business., 100% free,The course is 100% free. Use your free Semrush account to access all the lessons! ,"{'Video lessons': 'Watch easy-to-follow video lessons.', ' Read further': 'Study the handpicked materials to dive deeper.', 'Quiz': ""Test what you've learned.""}",This course is primarily for business owners or new marketers who are just starting out in digital marketing. This course is truly meant for people who have little to no knowledge about digital marketing.,"Greg Gifford is the Vice President of Search at SearchLab, a boutique digital marketing agency in Chicago, IL and Dallas, TX. With over 18 years of digital marketing experience, he is one of the most in-demand speakers at digital marketing conferences all over the world. He's a massive fan of movies, and has an obscure movie quote for just about any situation.","['Get certified by Semrush', ""After you've completed the course, you can take the Digital Marketing for SMBs exam."", ""Once you pass, you'll earn a certificate to showcase your expertise in this area. Feel free to share your expertise on your CV and LinkedIn profile. "", 'Learn more']"
7,On-Page and Technical SEO Course,"This course will teach you how to improve and maintain your website's health, as well as optimize your website's content for both users and search engines with Semrush tools. After completing the course, you will have sufficient knowledge to take and pass the accompanying test and carry on studying the Semrush SEO toolkit.",7 lessons,Exclusive video lessons with passionate digital marketer Ashley Ward,1 hour,Learn how to carry out competitive analysis and conduct keyword research with Semrush tools,100% free,The course is 100% free. Save your money for your future marketing activities,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","If you deal with technical SEO, as well as on-page SEO and the creation of optimized content, take this course and learn how Semrush can help you out. You’ll be guided through all the necessary tools in a series of free video lessons.","This course was prepared by a team of skilled Semrush professionals. To provide you with the most relevant and up-to-date knowledge, we designed it together with the creators of Semrush, who know it better than anyone in the world!","['Get certified by Semrush', 'Try to pass the On-Page and Technical SEO test and earn your personalized certificate.', 'If you already have sufficient knowledge of the tools, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you’ll earn a certificate, proof of your Semrush mastery.', 'Learn more']"
8,Role of Content Course with Eric Enge,Learn how to improve and enrich your SEO strategy by creating useful content that feeds users’ needs. Explore how links can improve your website’s visibility and increase conversion rate with top SEO expert Eric Enge.,10 lessons,Exclusive video lessons with digital marketing expert Eric Enge,1 hour,Learn the basics of SEO content in just 1 hour,100% free,The course is 100% free. Save your money for your future market research activities.,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Expert’s tips': 'Learn from the experience of SEO professionals', 'Read further': 'Study the specially picked materials to dive deeper into the topic'}","Whether you’re a marketing team leader, a content expert or an SEO-addicted specialist, if you’re seeking to improve your SEO strategy and implement great content and links to gain online visibility, take this course to get precious insights on the role of content in SEO.","Eric Enge is an SEO consultant, entrepreneur, and public speaker who participates in dozens of conferences every year. A CEO of Stone Temple Consulting and author of “The Art of SEO”, Eric is a prolific contributor to Forbes, Search Engine Land, Marketing Land, Search Engine Watch and other top industry media.
During his 20-year journey as a digital marketer, Eric has experienced operating and expanding an agency, hiring employees, communicating the value of SEO to potential clients, and investing in thought leadership. 
Now, Eric shares his knowledge and insights in the Role of Content course made in collaboration with Semrush Academy.
","['Get certified by Semrush', 'Try to pass the Role of Content exam and earn your personalized certificate.', ""If you already have sufficient skills in creating SEO content, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, proof of your mastery and a valuable addition to your CV and LinkedIn profile."", 'Learn more']"
9,Semrush Overview Course,"Get acquainted with Semrush, learn about our analytics reports and project tools, and discover how to get the most out of the suite with third-party services integration.",3 lessons,Exclusive video lessons with Semrush Academy head Cole Mercer,1 hour,Take the first step towards discovering Semrush and its main features,100% free,The course is 100% free. Save your money for your future marketing activities,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the handpicked materials to dive deeper.', 'Quiz': ""Test what you've learned""}","If you're new to Semrush and have no idea of how to get started, this overview course is perfect for you! The course will prepare you to dive deeper into Semrush toolkits with our specialized courses.","This course was prepared by a team of skilled Semrush professionals. To provide you with the most relevant and up-to-date knowledge, we designed it together with the creators of Semrush, who know it better than anyone in the world!",[]
