,links
0,https://www.udemy.com/course/the-blender-encyclopedia/
1,https://www.udemy.com/course/blendercharacters/
2,https://www.udemy.com/course/blendercourse/
3,https://www.udemy.com/course/mastering-3d-animation-in-unity/
4,https://www.udemy.com/course/ultimateblendercourse/
5,https://www.udemy.com/course/blender3dcharacteranimation/
6,https://www.udemy.com/course/architectural-design-animation-in-blender-3d-graphics/
7,https://www.udemy.com/course/fusion-360-for-3d-printing-design-an-led-tea-light/
8,https://www.udemy.com/course/ue5professionalcinematicscourse/
9,https://www.udemy.com/course/after-effects-3d-animation-motion-graphics/
10,https://www.udemy.com/course/3d-master-vol1-zbrush-basics/
11,https://www.udemy.com/course/opimation-mastering-animation-fundamentals-with-maya/
12,https://www.udemy.com/course/scene-kit/
13,https://www.udemy.com/course/3d-animation-and-modeling-master-class/
14,https://www.udemy.com/course/mastering-drivers-in-blender-3d/
15,https://www.udemy.com/course/ultra-speed-3d-animation-film-making-with-plotagon/
16,https://www.udemy.com/course/master-houdini-fx/
17,https://www.udemy.com/course/realflow-10-lessons/
18,https://www.udemy.com/course/learn-realflow-dynamic-simulation-effect-for-beginners-today/
19,https://www.udemy.com/course/3d-24-lf/
20,https://www.udemy.com/course/ue4maquetesexternas/
21,https://www.udemy.com/course/blender-para-principiantes/
22,https://www.udemy.com/course/dinamica-dos-corpos-extenso/
23,https://www.udemy.com/course/unitycourse2/
24,https://www.udemy.com/course/unityrpg/
25,https://www.udemy.com/course/create-your-first-rpg-and-fps-multiplayer-game-in-unity/
26,https://www.udemy.com/course/unity-developer-course/
27,https://www.udemy.com/course/procedural-terrain-generation-with-unity/
28,https://www.udemy.com/course/how-to-make-a-retro-style-3d-fps-in-the-godot-game-engine/
29,https://www.udemy.com/course/kart-racing/
30,https://www.udemy.com/course/blender3d/
31,https://www.udemy.com/course/endlessrunner/
32,https://www.udemy.com/course/build-a-battle-royale-and-an-rpg-in-unity-and-blender/
33,https://www.udemy.com/course/rpg-shops-abilities/
34,https://www.udemy.com/course/create-a-3d-car-racing-game-with-threejs-and-cannonjs/
35,https://www.udemy.com/course/3d-game-development-with-blender/
36,https://www.udemy.com/course/single-multiplayer-game-development-in-webgls-babylonjs/
37,https://www.udemy.com/course/unity-third-person-shooter/
38,https://www.udemy.com/course/arnold-fundamentals/
39,https://www.udemy.com/course/lowpolyscenes/
40,https://www.udemy.com/course/katana-masterclass/
41,https://www.udemy.com/course/unity-5-level-design-lighting-and-animation/
42,https://www.udemy.com/course/3d-lighting-theory-and-practice/
43,https://www.udemy.com/course/arnold-and-nuke-light-and-compositing-a-3d-cinematic-shot/
44,https://www.udemy.com/course/maya-3d-masterclass-modeling-a-3d-sci-fi-vehicle-in-maya/
45,https://www.udemy.com/course/creating-a-cartoon-octopus-monster-in-maya-2020/
46,https://www.udemy.com/course/modeling-fundamentals-in-maya-2020/
47,https://www.udemy.com/course/advanced-realism-in-blender-eevee/
48,https://www.udemy.com/course/creating-a-cartoon-monster-in-maya-2020/
49,https://www.udemy.com/course/creating-3d-artworks-with-adobe-dimension/
50,https://www.udemy.com/course/cinematic-lighting-in-iclone-7-2022-edition/
51,https://www.udemy.com/course/rendering-in-maya-unreal-marmoset-sketchfab/
52,https://www.udemy.com/course/short-course-on-professional-3d-product-rendering/
53,https://www.udemy.com/course/curso-blender-maquete-de-interiores-cycles/
54,https://www.udemy.com/course/blendertutorial/
55,https://www.udemy.com/course/blender-environments/
56,https://www.udemy.com/course/blender-28-the-complete-guide-from-beginner-to-pro/
57,https://www.udemy.com/course/learn-blender-3d-modeling-for-unity-video-game-development/
58,https://www.udemy.com/course/autocad3d/
59,https://www.udemy.com/course/how-to-create-retro-3d-graphics/
60,https://www.udemy.com/course/siemens-nx-unigraphics-ug-basic-to-advance-3d-modelling/
61,https://www.udemy.com/course/3d-modeling-in-blender/
62,https://www.udemy.com/course/creating-modular-environments/
63,https://www.udemy.com/course/blender3dmodelingguide/
64,https://www.udemy.com/course/game-asset-crash-course-3d-modeling-in-blender-and-3d-coat/
